index,label,text,score
52,1,可愛い❤😂,0.9876
53,1,この曲をSpotifyでやってくれたら嬉しい🎵😍🎵,0.9931
54,1,0:28のところの、とことこ歩いてる姿がかわいいし、音楽のリズムも最高😘,0.9875
55,1,オールバックめっちゃ好き❤,0.9903
56,1,気持ち良すぎる手拍子を定期的に聴きにきちゃう,0.9868
57,1,この曲はとても人気があり、面白いです,0.9928
58,1,ヤシの木見たら、こっちもまた見たくなるんだよな,0.7529
59,1,今年中に5000万再生行ってまた新記録だしてくれ！！,0.9837
60,1,CMで使われてるんだなぁ〜レベルだったのにハマってしまった,0.9454
61,1,これiTunesに来て欲しいわ,0.8964
63,0,どうしてこのPV見るだけでムラムラしてしまうのだろうか,0.8352
64,0,歌詞がいまいち意味不明。曲は好きだが。,0.9462
65,1,コミカル〜天才!,0.9451
66,1,カスタネット叩くカラス好きだわ〜,0.9703
67,1,少し前のボカロ感あって好き,0.9872
69,1,0:57これ好き,0.9852
70,1,なんかもう懐かしさ感じ始めちゃってるよ。安心感がある,0.9701
71,0,2分少々なのにやられてる。,0.8972
72,1,カップヌードルのCM見て初めて知ってからはまってしまった❤,0.9594
74,1,めっちゃ良い曲だね！,0.9938
75,1,4000万再生はウケる,0.9774
76,1,令和のラレコ,0.5871
78,1,もっと伸びろ,0.9482
79,1,いいね！,0.987
80,0,台風6号,0.9001
81,1,こりゃ、1億いくな,0.6035
82,0,一日一回は見てしまう...,0.5824
83,1,娘が聴いていてハマりました😄✨リコーダーの部分、口笛する人絶対居るはず(笑),0.9683
85,1,天才やん⁉,0.5731
87,0,なんでこの曲が流行ってるのかわからない。。ボカロにしても歌詞がいいとか作曲がいいとかでバズるならわかるけどこの曲にそのどっちもないじゃん。まじで謎すぎ,0.5365
88,1,これ、本当にテレビに入ってめっちゃ笑った😂😂,0.9693
89,1,天才,0.8312
92,0,絵のおかげ,0.5073
93,1,これはいいボカロですねぇ,0.9824
94,0,クセになる,0.9536
96,1,中毒性が凄い😂何度も聴いてる♫,0.5724
97,1,シーフードCM見ました！,0.9289
99,1,急にバズってるの凄いな継続はカなりだわ,0.8094
100,1,今の小学生授業でリコーダー始まったら大喜びしてこれやってそう,0.9627
101,1,終わったわ...w,0.439
102,1,謎の中毒性,0.8729
107,0,キャベツ（？）切ってるシーンってあの作画崩壊のキャベツ（？）じゃない？……気の所為？,0.6148
112,1,だんだんめちゃくちゃになってくの好き,0.9908
113,0,暇だったから見たら、弟が隣にいテ、その後…「これ面白い」って言われて、ハ？って思った。ソレカラ、とっても、騒がしくなりました(^-^)(うん、うるさいな^^),0.7216
114,1,最近ダイエットのために運動始めたんですが、これテンポ良くてよく聴きながらやってます！よき！,0.9902
115,1,投稿から4ヶ月以上経つのに、ここ最近の再生数の伸びが凄いな,0.529
116,1,登録させていただきました！！8０年代っぽいアニメでいいね・・・。（笑）,0.9823
117,1,密かに見つけた曲がこんなに伸びるのは,0.878
118,1,流行の風強すぎた☆,0.9769
120,0,なんかくせなる,0.9734
121,1,年末の特番でスパッツ芸人がやりそう題して伝説オールバック,0.9312
122,1,カスタネットのリズムが好きすぎる…,0.9806
123,1,かわいいい！！！！,0.9918
124,1,リコーダー取り入れるの天才だと思う😂,0.9475
125,0,作画崩壊キャベツ,0.8945
126,1,うちの娘にそっくり,0.7413
128,1,後ろのカラスとか鳩とか可愛すぎる,0.9802
129,1,風がオールバックになることを進めてくれるなんて優しいじゃないか,0.9398
130,1,この曲聴きながらレッドシー頂きます。,0.6448
133,1,キャベツ切るリズムおもろい😂,0.9828
134,1,1.25倍速結構好き,0.99
135,1,音楽の授業がある日でよかったね😅,0.9663
136,1,たのしい,0.984
137,0,どんどんおもんないクソコメ増えてきてるな,0.9423
138,0,1.25倍速じゃないと遅いなぁ,0.5152
139,0,最近この絵をよく見るのできてみたが声が予想外すぎる,0.818
140,1,歌詞のチョイスが天才すぎる,0.9643
141,1,良い,0.9929
142,1,最初聴いた時は何とも思わなかったのに、なんかもう癖になる。色々なんか完成されていて、カプヌCMの「食っとけ」とかはなんか違うんだな。シーフードのあっさり感は合ってるけど、この虚無感/謙虚さに独特/シンプルな世界観/リズム感が良き。,0.9242
145,1,こっちに慣れすぎて、ヤシの木聞いた後に戻ってきて、あぁ〜これだわ〜〜〜ってするの楽しい,0.9914
146,1,定期的にオールバック...だと！？不定期的にジャルジャルがいるぞ！それにしてもいい曲！,0.9784
147,1,歌も好きだけど絵が可愛くて好き,0.993
148,1,調教技術がリアルな歌声に近付く中、このボカロって感じのチューニングがたまらんのよ,0.6399
150,1,TikTokの曲ー！これいいよね,0.9875
151,1,8月初コメ,0.5756
152,1,虚無ルーパーかわええ😊,0.8881
153,0,まじで、これ一回しか聴いてないのに四六時中このメロディー流れててうざいw,0.8465
154,1,ほんとリズムが天才的,0.8486
155,1,１度聴いたら脳内リピされる🤣中毒性高過ぎ😆,0.9892
157,1,1:25かわいい❤️,0.9369
158,1,テンポが遅くて好き,0.9729
159,1,頭から離れないメロディー❗️夢にも出て来そうだわ😂,0.421
160,1,0.75倍速で聴くとスローで面白い,0.9866
161,1,アイドル超えたら笑う,0.9221
162,0,お亡くなり‥この歌詞に違和感。熱中症でなくなる方もいますし、笑えない。,0.9865
163,0,なんか既視感あると思ったら全てあなたのせいですに似てる😊,0.8294
167,1,風でこんな中毒性のある曲作れるの凄い,0.9701
170,1,癖になる歌っっっwwwwwwwwww,0.757
171,1,これでいいんだよおじさん「これでいいんだよ」,0.9179
172,1,1.25倍速まじ楽しい,0.9867
173,1,カップヌードル食っとけ,0.6118
174,1,こんなに大きくなっちゃうなんて....お母さん嬉しいよ....,0.9721
175,1,この曲中毒性ある😂,0.9695
177,1,また明日聞くね、大好き💕💕💕😘❤。,0.9922
179,1,いくら何でもリズム良すぎ何回聞いても癖になる,0.9701
180,0,ちょっと聞きすぎた。頭から離れない。,0.9842
182,1,再生バーの丸が風強すぎて前に進めないユキちゃんに見えてきてなんか可愛い,0.9702
184,1,まさかのコラボすぎたよな,0.9718
186,1,強風オールバック良すぎて再生リスト作った,0.9746
189,1,電子音前回のボカロ大好き,0.9818
190,1,10回以上再生しちゃってる中毒者、正直に🙋‍♀️,0.9668
191,1,これ好き,0.9894
192,0,早くLINEMUSIC追加されないかなぁ‥,0.5783
195,1,寝起きヤシの木が出てからまた来たぜ！,0.9308
196,1,あ！！！！！！例のキャベツだ！！！！！！,0.5007
197,1,カップヌードルで知ったけど、このリズムの中毒性ヤヴァイ！！,0.8448
200,1,曲に合わせて、高評価おして高評価するかしないかの独自ゲームしてたら高評価できた,0.9196
201,1,誰もが共感できるエピソード過ぎて強い,0.9463
203,1,伝説の作画崩壊キャベツネタあってワロタ,0.9633
206,0,20時間で60万再生されてるのペースおかしい,0.8642
210,1,映像の構成・編集技術・カメラワークどれも最高でした！あとサビの歌声がacidblackcherry(jannedaarc)のyasuさんに似てて素敵です！,0.9935
212,1,過去の動画見たらこの人がアンダーテール好きなのが伝わってきた,0.6876
213,1,アニマルたちのゆるふわ感と女の子の無表情かわいいそして中間の緑の球体ことキャベツへのオーバーきるwww,0.9368
215,1,4000万回再生おめでとおおおお！,0.9764
217,1,歌愛ユキがまたこうやって人気になってくれてうれぴー,0.9456
218,1,新曲だからだけどヤシの木からのオールバックは実家のような安心感が半端ないな,0.954
219,1,お姉ちゃんが厨二病だったとき外が強風でお姉ちゃんが「黒い風が、、鳴いている、、、ﾄﾞﾔｯ」ってずっと言ってたの不意に思い出してずっと笑ってるｗ,0.5438
224,1,って！の所が何気に好き！,0.9872
225,1,おもしろい😊😅🎉😂❤,0.9772
226,1,すごい,0.73
228,1,あの日清のカップヌードルのcmに起用されるの凄すぎやろ😂,0.9443
229,1,寝起きヤシの木聞いてからこっち来ると物語が続いてる感じになるの好き,0.9867
231,0,また、ユーチューバーが、自分の娘さんとか使って、【実写版】を作りそう(~_~;),0.6109
232,1,切れ目がないから嫌でも最後まで見て再生回数に貢献しちゃうの沼だわ,0.9523
233,1,0:56ここ好き,0.961
234,1,1:11ここからのテンポがめっちゃ好きで何回も見てしまう笑,0.9708
235,1,日清とのコラボ見て、納得して聴いたら良かった,0.9899
238,1,キャベツ見て笑った,0.89
239,1,歩くのは楽しいこと！.!,0.9895
241,1,リコーダーの部分が1番好きやわ,0.9822
242,1,4週間ぶりに見たら4000万再生すげぇぇ。4週間前は3100万再生やったのに。強風もヤシの木も最高！！,0.9904
243,1,cmからクセになって本家とcm行き来してるカプヌの方の概要欄好き,0.9095
244,1,cmで見掛けて心をわしづかみされました、最高です。,0.9912
246,0,風強いくらいって死なないとない思います。死んだなら死因を言って下さい。,0.9002
247,1,からすが一生懸命でかわいい,0.9916
249,1,絵がかわいくて草,0.975
250,0,ヤシの木を聞いてからだと、早さに物足りなさを覚える…脳から変な汁が出るくらいに速さをくれ…,0.8432
251,1,裏拍踏んでるカラスがスキ。,0.6574
254,1,歌愛ユキが今日もかあいい。。,0.979
255,0,なんでこれこんな流行ってんの？この曲のなにがそこまでみんなに刺さるのか私にはさっぱり分からんよ…,0.9736
258,1,CMで🦑切るとこ好き,0.9808
260,1,ありがとうございます！,0.9893
262,1,この曲が史上2曲目のボカロ一億再生達成だろうな。,0.9253
263,1,新曲でて戻ってきた人絶対いるよね,0.955
264,1,この曲はハマる😱中毒性高過ぎ❗アニメーションかわいい✨ＣＤで出ませんか？,0.6763
265,1,やっぱこれだね,0.8581
266,1,この曲、配信リリースしてほしい。めっちゃ聞きたい,0.9773
267,1,ひさびさにすごいボカロ曲聴いた気がした,0.8286
268,1,かわいい,0.9801
269,1,4008万回再生おめでとうございますそのうち100回は自分ですカスタネット担当が好きです,0.9786
271,1,4000万回再生おめでとう！ユキちゃんは4000万回強風オールバックを経験したよ！,0.9851
274,1,今更ですが見ました！面白かったです🏆,0.9942
275,1,この曲中毒性すごい,0.651
277,1,神曲っすね,0.98
279,1,この調子で再生数１億超えたら笑う,0.8878
281,0,まぁ、むきんって入力しても無勤なんて変換は候補にはでないと思うけどね🤔どやって間違えたのかな…普段から無勤という言葉をお使いになられてたのかな…,0.8886
283,1,4000万回wwwwwwwwwほんとすごい,0.8481
284,1,😂私を幸せにしてくれてありがとう,0.9806
285,1,4000おめです！！！,0.9752
286,1,歌愛ユキって可愛いよな♥️,0.9927
288,1,みんなめっちゃコメントしてんのすげえな,0.948
289,1,4か月で40000000再生とかすご。1年で1億2千万回で全国民聞いてるじゃんｗ,0.87
290,1,今までありがとう、灰色の背景,0.775
291,1,4000萬再生～！！！！！！！！,0.9662
294,1,4000万回突破おめでとうございます🎉これからもたくさん聴いてリピします！！,0.9933
295,1,4000万回再生おめでとう🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉これからも鬼リピします！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,0.9821
300,1,4000万回もオールバックになってるユキちゃん面白すぎる,0.9844
301,1,4000万オールバック突破で草,0.757
302,0,群馬県平野部の冬だとからっ風が強くて通学通勤時にこういう状態になりますね。,0.9222
303,1,コメ欄群馬の人たくさんいて嬉しい,0.9913
304,1,もうすぐ4000万再生に届きそうなのを見るとやっぱりこの歌は人気なんだなと感じる,0.9788
305,1,4000万行くやん,0.8051
306,1,4000万まであと1万再生‼️,0.9126
307,0,例のCMにつられて安易にシーフードヌードルに手を出してしまいました、誠に遺憾です,0.9868
308,1,騙されたと思って1.25倍速で再生してみ？めちゃめちゃ乗れる曲になる（？）,0.9037
309,1,両サイドの手拍子がドチャクソスコ😂,0.7029
310,1,CM見れた、嬉しい,0.9944
311,0,勤務帰り、外出た瞬間口ずさんでしまう。,0.9
312,0,あったかさを求めてるのに半そで？,0.806
313,0,群馬とかだと秋から冬にかけての強風がすごすぎて自転車で坂道下るときに漕がないと前に進まないとかあるよbyグンマー民,0.8115
314,1,ヨーデルの女以来の中毒性,0.9832
315,1,ここまで有名になったら小学校とかでリコーダーの音階教えてもいい説,0.8356
316,1,CMは日清としては久々の秀作,0.7593
317,1,カップヌードルだらだら食べたくなる,0.6495
318,1,yukopiさん歌が神ってるううううう,0.9781
319,1,もうすぐ4000万回再生！凄い勢い！,0.9556
320,0,守若の兄貴しか出てこなねぇ😅,0.5848
321,0,毎日、歌ってルくらい中毒です❤,0.7364
322,1,この曲にハマっていつもこの曲を流しています🤣,0.9562
323,1,この、プロが休憩中にお遊びとして適当に作った感が満載なのがいい,0.9472
324,1,天才。,0.6917
325,1,1:12有名な作画崩壊キャベツ！！！芸が細かくて好き,0.9847
326,1,良すぎる,0.9892
327,1,この曲、面白い♪。これをCMにした日清の凄さ★。,0.9878
328,1,中毒性高すぎる,0.9938
329,1,最近は色んなのあるけどやっぱり本家に戻ってくる,0.7373
330,0,意味不明,0.9623
331,0,1日に55万回再生、、、、、、、、、、、、、嘘だろ,0.9761
332,0,これを知らなかったのでカップヌードルがパロディだった事に気づけなかった。何かすげぇ残念w,0.9192
333,1,私はロシア人ですが、この曲が狂うほど好きです。アナの気分が良くなりました。とても素敵なビジュアルです）,0.9916
334,0,CMで最近この曲のことを知った側の者なんですが、この曲の歌詞すごいぞ当時の作者さんは本当に風強いのが嫌な気持ちを表現しただけかもと思いつつ、家出てどっか行くという行為を現代人の人生に例えたら、歌詞中のあらゆる言葉に皮肉があるように思えてしまう・外出た瞬間終わったわ→社会人になったら嫌でも思い知る将来への絶望感・天気はいいのに進めない→会社行きたくない・風強すぎてお亡くなり→耐えられずにドロップアウトか、無理して耐えて本当にお亡くなりか、強く常に発生する逆境が理不尽な二択を迫ってくる・定期的にオールバック→それでも元気に押し寄せる年金税金インボイスなどでオール国民がバックしていく,0.5953
335,1,脳内リフレインするくらい狂おしい程好き,0.9808
336,1,わろたｗ,0.9099
337,1,AppleMusicでダウンロードできるようになって欲しい。,0.6593
338,1,1:16この前アニメネタの動画見てる時になんか見覚えあるキャベツの絵やな〜って思ったらこれやった,0.8054
339,1,才能の塊,0.8206
340,0,"これ学校でしたら,冷たい視線という強風が吹いて終わった",0.7431
341,0,最近外出たら風強すぎて風邪引きました,0.9877
342,1,新作聞いたついでにまた見に来た,0.8914
343,1,1:11から雰囲気好き,0.9702
344,1,新曲出たから戻ってきた(2回目),0.866
345,1,日清のCMが頭から離れなくて本家探したらここに辿り着いた！ここ本家で間違いないよね！中毒性あって良い〜,0.9861
346,1,UNDERTALE可愛いアレンジメドレーのやつを前に聞いてまさかこのチャンネルのやつだと思わなかった！びっくりした工ｴｴｪｪ(・д・)ｪｪｴｴ工,0.9431
347,1,なんだろう、懐かしいような新しいような。頭から離れない😂,0.4817
348,1,日清の目の付け所が良すぎる件,0.9759
349,1,キター！自分なり神曲🎉🎉あと、カップヌードルのCNになってんてんの超スゴー！😊😊,0.9838
350,1,子供がカプヌCMの方にハマって、激しくオススメされたから見てみたら…私は原曲にハマったわwヤシの木も座席もイイ😂,0.9715
351,0,外出た瞬間終わったわ天気が良すぎて進めない気温高すぎてお亡くなり天気天気的にhomeback,0.6082
352,1,リコーダーの音外れるの最高！！,0.9925
353,0,ケツから汁出て終わったわ,0.4606
354,1,カスタネットカラスが好きです。,0.969
355,0,頭から離れんwww,0.6308
356,0,結構前の曲かと思ったら4ヶ月前で草投稿してすぐCMってすげぇな,0.493
357,1,すき,0.8999
358,0,ケツから汁出て終わったわ,0.4606
359,1,寝起きヤシの木聞いた後に強風オールバック聞くとなんか安心感あるわかるかな？これw,0.8697
360,1,1:55ここかわいい,0.986
361,0,風強すぎてお亡くなりって良いな,0.5541
362,0,作画崩壊キャベツについて話している人いないの時代だな…ネタとも認識しないんだろうな…,0.9677
363,1,リズムを合わせる天才,0.9182
364,1,ボカロは永久不滅💪💪💪💪,0.7523
365,0,気がつけば4000万近くまで終わってるのか...,0.7531
366,1,朝起きた時に聴きたくなる,0.8154
367,1,「TikTokで○億回再生」って形で紹介されそうな曲感がある,0.5243
368,1,カップヌードルのCMから来ました。絵柄大好きです。,0.9028
369,1,マジ強風オールバックカバー，データ，ラップ，ボカロがマジあってる。リコーダーがボカロっぽいっ楽器と歌詞と音楽を合わせて，色々と…マジ愛おしい。,0.9817
370,1,この曲プロセカに欲しい,0.8686
371,1,CMを見てハマりました！,0.9909
372,0,これ、登校中で遅刻したとなったら……キヨテル先生にドヤされるかもな。,0.9482
373,1,カップめんから。絵がかわいい💛,0.9778
374,1,みんな！「私の歯医者さん」も聞いて！神曲だから！！,0.9876
375,1,歌詞にジョジョ味を感じる・・・！酒！飲まずにはいられない！！,0.6495
376,0,再生速度を2倍にしたら疾風感半端なすぎて耳が終わったわ,0.8451
377,0,もう4ヶ月経ったのか…,0.849
378,0,せっかくヤシの毛整ったのに風に乱されるの可哀想で可愛い,0.4158
379,1,4000万再生！？新作でましたね。これが本家だと思うとすっげぇ安心感ある。数年ぶりにはまった曲がシリーズ化されるの嬉しすぎ☆ここからは主の強風シーン☆6/2の下校中、台風がきてうんたらしてたら急に超強風きて大声でサビ歌いました。そしたら台風なんか頭から消えたくらい安心感あるこの曲テレビで「夏暑すぎて終わったわ」って聞いたら30秒でも全視聴。急上昇5位とか取ってたし。本当に強風の力って凄いなぁって思った。絶対食うから給食のとき、放送で学校でこの曲流れた。嬉しすぎて飯いつも50080倍進んだで。食いながら歌ったら吐きそうになったwいい意味で頭ぶっ壊れた。本当にありがとう,0.9798
380,1,こういう日常の出来事を曲にしようって思うのは全く凄くなくて、それを実行できる技能があるのが凄いんだよね…,0.845
381,0,何言ってるかわからないのになんかええわー,0.8359
382,1,リコーダー買いました,0.79
383,1,余りにも可愛い過ぎる、、、そしてヤシガニ、、、,0.4442
384,1,この歌中毒性すごいよな😂❤❤,0.5849
385,1,鬱曲聴きまくった後の強風オールバック最高,0.969
386,1,4000万いったれ～,0.6437
387,1,もっと盛りあがろう！,0.9707
388,0,前から思ってたけどわかりみが強いスプレーしても風でオールバックになっちゃうから…,0.9322
389,1,CMにボーカロイドが使われる快挙達成おめでとうございます！！！！ボーカロイドがお茶の間に進出してきてて本当嬉しい,0.9923
390,1,頭に残りやすくて好き笑,0.9873
391,1,風のせいでオールバックになって萎える感情を曲にするのは天才だわ,0.9121
392,0,「外出た瞬間終わったわ。天気がいいのに進めない」この夏の激猛暑みたい。,0.9693
394,1,オンガクヨすぎよヤバいヤバくないすごい,0.7283
395,1,この歌が好きですわ～～。,0.9868
396,0,イヤイヤいいモノを作り出すとすぐにあちこちがパクリ始めますねm(__)mこころのそこからご苦労様ですと言いたい。,0.7389
397,1,キャベツが瑠璃色なアニメのヤツですね！,0.9258
398,1,うざい強風がこんないいものに凄すぎる,0.583
399,1,曲とアニメーションが完璧にハマってるかなり中毒性高い,0.9859
400,1,曲もいいがやはりキャベツとリズム隊がいい。瑠璃色なキャベツ最高。,0.9901
401,1,いいないいな,0.961
402,1,日清CMバージョンも素晴らしいが、やっぱり原曲最高すぎ。そして・・・新作投稿の情報に期待が止まらん！！,0.9892
403,0,沢山カバーされてるけど開幕の音程合ってる人居ないね……,0.955
404,1,直近のジブリ放映でカッブラーメンコラボしてましたね❤衝撃💥的でしたよ❤可愛い❤,0.9884
405,1,かわいい❤,0.9704
406,1,中出た瞬間終わったわ！,0.965
407,1,0:50〜0:58リズムが良すぎる,0.9524
408,1,本家も好きだしcmバージョンも好き❤,0.9841
409,1,始めてみたけど面白い楽しい曲ですね、ヤシガニのところで笑ってまうのが我ながら歳やなぁって思います。,0.9774
410,0,最近、外出た瞬間終わったと感じたのはセミが玄関前に転がっててお亡くなり？してた時ですね。天気は良くても進めないのは定期的にセミファイナルがあるからなんだと。,0.9274
411,0,100万再生されてて伸びるだろな〜って思ってたらもう4000万に近い数字になってやがる…,0.8885
412,1,俺を復活させた❗,0.9468
413,1,この十年人生を過ごせば考えられそう感がすごい好きw,0.9866
414,1,女の子可愛い〜,0.9886
415,1,この曲、めちゃくちゃハマってる😊カセットテープにもAD-850で録音までしたくらい😊ADX5555zなどでもこれ流していたいわ!,0.9805
416,0,癖になる,0.9544
417,1,キャベツ切るの意味わからなすぎてすきw途中の「ぽひぃ〜っ！」はもっと好きww,0.9784
418,1,CM企画にGO出した人すごいと思う,0.9819
419,0,CMになった瞬間、終わったわ☆クオ高すぎて、お亡くなり☆,0.6335
420,0,仕事中ずっと頭の中で『外でた瞬間終わったわ、天気がいいのに進めない』てながれて何故か仕事進むんだが...,0.8972
421,1,カップラーメンのCMの本家見てきたあとの、TVでCM見るの楽しみ😊,0.9817
422,1,カップヌードル。。。シーフード買ったわww,0.5578
423,1,CMおめでとうございます🎊🎉,0.9734
424,1,あのCM元ネタがあったのか！なんか中毒性高いCMだなぁと思ってたけど、なんか感動したわ。,0.9785
425,0,お亡くなりの意味誰か教えて😭意味伝わらず眠れない,0.9899
426,1,40代のオッサンですが😅この変な曲大好き😂,0.9798
427,1,この曲好き,0.9885
428,0,行く時は向かい風で「帰る時は追い風や！！」でいざ帰ると向かい風なのガチでぶち切れそうやったなぁww,0.5521
430,1,うける(笑笑)wwwwwwwwwwwwwwwwwwwwwwwww😂😂😂😂😂😂😂😂😂😂,0.9515
431,1,これをCM採用する日清すごいよ、よくやった,0.9501
432,1,カスタネット叩いてる烏が可愛すぎる。,0.9857
433,1,カラスのカスタネット好きすぎるw,0.9765
434,1,CM採用凄い…,0.7565
435,1,リコーダーの外し具合すごい好きw,0.9892
436,1,CM出てたから戻ってきました。やっぱり神曲っすわ。,0.9861
438,1,CMに使われるとは、お見事(ﾉﾟ∀ﾟ)ﾉ,0.967
439,1,税金オールアップのアテレコで岸田首相をCMに出そう。,0.9144
440,0,キャベツネタは、ここまで侵食しているのか,0.8348
441,0,ちょっと倍速したらいい感じに風強くて必死な感じになった,0.4983
442,1,頭の中で思いだしたりして授業中とか頭の中で流れてる!!w,0.8334
443,1,配信4ヶ月程度でCMデビューとか改めてこの曲の中毒性を感じた,0.9186
444,1,サビがずっと頭の中にながれる癖が強い感じがあって好き！,0.9884
445,0,仕事してても脳内ループしとるんよ。,0.9878
446,1,この再生回数の伸びからすると、7月中に4000万回視聴を超えるのか？凄まじい！,0.9178
447,1,これをアレンジしてＣＭにしようとした日清食品広報のセンスよ！！！,0.9634
448,1,CMを見て再び本陣を訪れました。この曲を保存して携帯で聴きながら公園をジョギングすると、なぜか風が涼しく感じる魔法がかかります。,0.7858
449,1,ちょいちょいネットのおもちゃを挟んでくるアニメーションもおもろい。,0.7826
450,1,1:11～のキャベツ切ってるシーンが「夜明け前より瑠璃色な」のパロディなの笑った。なつかしwww,0.8172
451,0,よく見たら作画崩壊したキャベツおるやん,0.8339
452,1,CMも大好きです！,0.9935
453,1,CMに起用しようと言い出した日清社員さんもそれをゴーサイン出したしたお偉いさんも案件受けたYukopiさんも全てが最高だろ,0.9743
454,1,中毒性あるなあw,0.9257
456,1,日清にも認められた神曲,0.9532
457,1,ヤバい、中毒性ありすぎてハマりました😳,0.7998
458,1,ハトハトハトハト大乱闘のとこ大好き❤,0.9889
459,1,CMに採用されるとか凄すぎだろ❗️😂,0.8766
460,1,カスタネットを叩くカラスがかわいいw,0.9764
461,1,カプヌのcm神,0.9176
463,0,まだ伸びてるやん…すご……,0.6048
464,1,キャベツが作画崩壊のネタつかってて好き︎👍🏻̖́-,0.9783
465,0,遂にCMに使われるとは、すげぇ,0.5097
466,0,なぜみんな「放送事故キャベツ」には触れないんだ？,0.551
467,0,学校の帰りにうたうくらいだいすき❤です❤❤❤❤❤❤❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊,0.564
468,0,カラオケで歌ったら音ていがちがかった😢😮,0.8007
469,0,強風オールバック聞こうと思ってきいてて、チャンネル開いた時にちらって再生数見たらえげつない差があったwww,0.8631
470,1,カップヌードルのＣＭdr初めて知ったけど、このＣＭ好き。,0.9894
