level_0,index,label,text,score
1,1,1,久しぶりにきたら再生数えぐいことなってて草,0.8679
7718,8452,0,癖になる,0.9544
170,239,1,歩くのは楽しいこと！.!,0.9895
4393,4901,1,一ヶ月でこの再生数はえぐい,0.5007
3237,3565,0,お亡くなりってどういう意味？なにがなくなったの?,0.9533
3283,3620,0,ハトから来てしまったせいで、ハト圧が足りなくて困ってます。,0.9815
3087,3407,1,え、なんこれ、ガチ好き,0.989
29,33,1,マジですごい,0.9118
5116,5664,1,風が強い日に必ず伸びる最強の曲(某ボカロP談),0.6805
4347,4854,0,外でた瞬間墓場だ！天気はいいのに不甲斐ない...(最)風強すぎてお亡くなり,0.9686
3479,3957,1,可愛い💕❤️😍。,0.9884
7543,8277,1,全部かわいい,0.9875
1756,2001,0,加速しないことに違和感を覚えるようになってしまった,0.989
1738,1983,1,夏に聞くといい,0.9664
817,1034,0,仕事中ずーと頭で流れてる,0.5259
4118,4622,1,0:570.5倍速にしてみてもすごく好き,0.9902
2174,2457,0,GUNDAMF91と合わせた外で出た瞬間(クロスボーンの襲撃で)終わったわ天気は良いのに(連邦軍の無能で)進めない(ママのドレスの)裾長すぎてお亡くなり定期定期的にウッソ「猫の目か狐目なんか‼️」,0.7063
5011,5544,1,なにこの中毒性w,0.9725
2129,2412,1,この動画好きすぎて定期的にオールルックしてしまうんだが笑,0.9166
7397,8130,1,ゆるくて好き,0.9876
5929,6514,1,なんかこれ一つで濃厚な音MAD聴いてる気分になったわ,0.8949
5138,5686,0,MVたまらんな....🥴,0.9625
4011,4514,1,なんかキルミーみたいでかわいい,0.9857
4601,5127,1,草このくらいの曲もっとあっていいと思う,0.9099
3629,4115,1,-可愛い-,0.992
6391,7002,1,動物可愛すぎる🥰,0.9762
3890,4390,1,アニメーションありきのボカロの中でかなり面白い一曲普通でないわこれは,0.9096
7126,7857,1,独特なこの雰囲気好きかも,0.7468
3097,3418,1,こういうボカロの声を活かしてる曲すこ,0.8006
3723,4210,0,今日まさにそれで、外出た瞬間時間かけてセットした前髪吹っ飛ぶし、砂は目に入るし、頭の中強風オールバック無限ループでした,0.6313
3919,4420,1,強風でアザラシみたいになってる某動画のポメラニアンがいてかわいい,0.968
2762,3068,1,パンパンの時にカッパえびせん噛むの気持ちよすぎww,0.9787
3108,3429,1,風が強くて無理誰でも共感する歌詞だけどリズミカルな音楽etc…でここまでパズるのがすごいって思いました,0.9427
2618,2922,0,この前、ありえないほどの強い風によってメガネが飛ばされ自転車に轢かれてお亡くなりになりました。,0.9704
6372,6980,1,リコーダーに癒される,0.9786
879,1097,1,PV、キャベツの作画ネタまで入ってたんだ笑,0.5304
822,1039,0,クソ適当キャベツオッスオッス,0.9248
3599,4084,1,映像かわいい,0.9923
1033,1256,1,長年自災されて当初からお亡くなりになられていたギースハワードさんにはお悔やみ申し上げますがご息子に被害が及ぶ前にこの動画を世間に公表して頂いた事を心から感謝致します,0.8475
3481,3959,1,始まり方好きすぎる,0.9889
494,603,0,日常感がすごい,0.8702
7148,7879,1,リコーダーがいい味出してる,0.9814
7673,8407,1,サムネと曲名に吸い込まれて、この曲から次の動画に進めません。吹いてます、風。,0.611
7696,8430,1,気づいたらずーーーっと聞いてるこの曲だいすこ,0.7169
2770,3076,0,ここのコメントの返信地獄率高すぎて草,0.8121
1536,1778,1,そとでたしゅんかんおわったわてんきはいいのにすすめないかぜつよすぎておなくなりていきていきてきにオールバックちかにもぐりたいなっておもいましたかぜさえなくなればあったかいのにずっとすわりたいなっておもいましたいやいやとそとでたらはとはとはとだいらんとうあぁそとでたしゅんかんおわったわてんきはいいのにすすめないかぜつよすぎておなくなりていきていきてきにオールバックそとでたしゅんかんおわったわてんきはいいのにすすめないかぜつよすぎておなくなりていきていきてきにオールバックそっとでたしゅんかんおわったわてんきはいいのにすすめないかぜつよすぎておなくなりていきていきてきにオールバックかみのけきょうふうオールバック自分よう,0.5904
488,597,1,カプヌのCMでよ使用おめでとうです！着実に前に進んでる。,0.9918
2511,2810,1,何かよく分からないけど面白い,0.9773
5817,6400,1,エモいのに中身がしょうもないの最高,0.986
2748,3054,0,歌詞の内容スカスカなのに癖になる,0.7149
7432,8165,0,なんかクセになるな色々と(*´ω｀*),0.9422
4267,4773,1,伝えたいことが「風が強い」だけなのが好き所々にパロディとか含まれてて見てるのも楽しいし、小学生らしいユキちゃんの可愛さが全面に押し出されてるよね…,0.9895
3094,3415,0,高一の時に帰宅中風が強すぎて道路脇の山林でバキバキと木が折れたの思い出した,0.9244
4336,4843,1,今日のお昼にクラスで流れました。神様もそのことを喜んでおり、その後の体育では凄まじい程の強風が吹き荒れ、生徒の髪の毛をもれなくオールバックにしてゆきました。,0.6098
758,971,0,あたかいのに,0.9685
2004,2286,0,外出た瞬間終わった和天気は良いのに進めない風強すぎておなくなり定期定期的にお-るバックリコーだ-地下に潜りたいなっておもいましたかぜさえなくなればあったかいのにずっとすわりたいなっておもいましたいやいやっと,0.7254
5457,6011,1,0:41長袖着るとこから始めて欲しい所存,0.6169
7832,8567,1,休符がおしゃれ～,0.8536
1563,1806,1,一回も出勤してない社員の戯れ言に対してもいちいち優しくウィットの聞いた返事をしてくれる素敵な上司が欲しい人生だった。,0.9292
2806,3113,1,風強すぎてオールバックになってもこの曲思い出して楽しくなる,0.9865
3295,3633,0,今日強風きた。髪ふっとぶだろとおもった。,0.7533
4181,4685,1,この歌聴きながらガチの強風くらって学校行くの最近の楽しみ,0.9795
4830,5360,1,これ今のところ今年のボカロで3番目に再生されてるの好き,0.985
106,138,0,1.25倍速じゃないと遅いなぁ,0.5152
5392,5944,1,この歌中毒性あってめちゃ好き。,0.9894
1935,2214,1,台湾には毎日こんなに強い風が吹く場所、つまり新竹があり、向こうの人々はトリビュートピルに乗って飛ぶでしょう,0.5198
1787,2032,0,俺これサムネ炭治郎かと思って避けとった,0.8216
6497,7161,1,なんか見る度に10万再生ぐらい増えててたけど遂にミリオン行ってる!おめでとうございます!この曲大好きです!,0.994
5460,6014,0,鳥さんどうやってトライアングルならしてるのよあんたのくちばしグミみたいな見た目してるわよ,0.6205
1226,1463,0,向かい風が嫌すぎて追い風にするって言って家と反対方向に走ってった友達元気かな,0.7212
4156,4660,1,最近まさにこれ笑,0.7104
103,135,1,音楽の授業がある日でよかったね😅,0.9663
4306,4812,1,カラスのリズムが玄人すぎる,0.5607
508,618,1,歌詞に「風さえなくなればあったかいのに」っあるけど、この子が半袖なの「最近暑いから半袖来てこっかな〜」って思ってたら見事に風にやられたんだな〜感があって好き,0.9837
3316,3660,1,イラストが好き😊,0.9823
5452,6006,0,まじで強風の時腹立つ😂,0.9932
2423,2711,1,ラインスタンプ作ってくれ、、、、、即決します,0.8004
6277,6873,1,間奏の時に出てくるカスタネット叩くカラス好きすぎてずっと見れる,0.9871
2220,2503,0,MAD職人さんへ恐怖ウォールハック作ってください,0.9536
6305,6906,1,クソかわいい,0.9874
6215,6808,1,可愛過ぎる,0.9913
1849,2096,1,本家がどれかな？と思ってググったらコレが本家なのね！？てっきり歌ってみたかと思った,0.8878
3086,3406,1,今のボカロは深く考察出来るものが多数ですが。この曲はその様子もなく、ポップな曲調と共に「風が強い」を主張してきます。とても可愛らしい私はこのオールバック少女を抱きしめたいです。,0.8283
6932,7659,1,ユキちゃんのボカロ小学生を最大限生かした曲きた…,0.8427
979,1198,1,作画崩壊キャベツネタ良すぎるw,0.9873
7165,7896,1,想像を絶する速度で伸びてて嬉しい,0.9939
2901,3211,1,中毒性やば、,0.9866
52,63,0,どうしてこのPV見るだけでムラムラしてしまうのだろうか,0.8352
300,392,0,「外出た瞬間終わったわ。天気がいいのに進めない」この夏の激猛暑みたい。,0.9693
5431,5985,0,グッパイ宣言並にバズりそう,0.7842
3882,4382,0,流行りに乗り遅れた、どうしおる？,0.9744
6769,7492,1,中毒性エグくない？,0.8088
6114,6701,0,自転車乗ってる時に前から風来てオールバック()になって髪が崩れまくる絶望感,0.9946
7261,7992,1,子供の頃に思っていた小さな疑問が詰め込まれていてとても和みました😊あとイラストがkawaii!!,0.9841
5362,5914,1,やばいw今まで聞いてきた曲で1番好きかもぉ何回でも聞いてられるわ,0.9593
1229,1466,1,これのフル欲しい,0.9154
6745,7467,1,めっちゃ流行りそうこう言うの好き,0.9871
1477,1719,0,子ども（小6）が歌ってたのを聞いて、おもしろくて聴き始めたけど…今日仕事中ずっと脳内ループしててヤバかった😅,0.9716
6309,6911,0,何故だ丸い緑の球体なのにキャベツが連想されてしまう....う...頭が...,0.8948
2077,2359,0,気がついたらもう20回見てたけどなんで人気が出たのか分からない。もう一回見よっと,0.6893
6525,7231,1,5日前くらいから日に10万再生くらい増えてるのすげえな,0.9229
7373,8106,1,歌詞に共感した…この曲私のことだ…（涙）,0.8928
6526,7232,0,髪の毛めっちゃ決まったときに限って玄関開けた瞬間無に帰されるよね;;,0.7579
2194,2477,1,こういう曲が流行るのはいいことだ,0.9541
6955,7682,1,全てが可愛い…,0.9766
4861,5391,0,毎日2回は聴いてるけどそろそろ飽きてきたな,0.9839
6058,6644,0,向かい風は学生の敵,0.6853
4345,4852,1,唐突な某キャベツで笑ったわ。,0.5991
3973,4474,1,何も考えずに聞いてもいい曲だけど、ボーッと聞いてたせいでオールバックの部分でオッズパークって空耳が聞こえてから、すごく引っ張られるようになったw,0.9418
2473,2770,1,こういうのでいいんだよこういうので,0.8771
5729,6310,1,リコーダーの気の抜けた演奏大好き,0.9931
6953,7680,1,絵も曲も全体的に可愛くてオシャレで好みだわ〜個人的にカスタネットカラスが1番好き,0.9911
4079,4583,1,【考察】なんとか自分なりの考えをまとめました。なるほどなとおもっていただけたら幸いです。風が強い。,0.9258
7442,8175,0,定期的に聞きに来ないとオールバックを保てない。,0.9594
2497,2795,0,外でた瞬間お亡くなり,0.9596
4611,5137,1,最初好きすぎて鬼リピ,0.852
801,1018,1,リコーダー買お,0.7609
3532,4012,0,天気定期的にお亡くなり,0.9688
7288,8019,1,今出会って心奪われて過去の動画も聞いてきました。絵も曲もタイプです。基本的に動物が好きなんかな？,0.8446
5665,6246,1,とりあえず可愛いのは分かった,0.9548
3354,3730,0,この曲聴いてめっちゃわかるって思った俺風嫌いなのもあるし,0.9513
766,981,1,みんなどんどん再生数を増やそう！😊,0.9384
4934,5465,1,前髪ない年中オールバックの私最強(アイコンの通りデコ),0.9366
7377,8110,1,ゆるゆるな歌詞とリズム好きぃ,0.9851
2827,3135,1,なんか10年前くらいのボカロって感じで良き,0.9879
4940,5471,1,癖になるテンポが良い,0.6216
28,32,1,ボカロ史上2本目の1億越えあるかも！！,0.8854
3033,3345,0,学校からの帰り道に風が強すぎ➕受験生➕コケてストレス爆上がってしまって人がいるのに「ぎやぁぁぁぁぁぁあおぅぅ」と泣き叫んでしまった人と体が寒かった,0.9907
125,161,1,アイドル超えたら笑う,0.9221
6973,7700,1,ガチャポン虚無ーパールーパー好き,0.9271
1289,1526,1,めちゃくちゃ好き、!!!!!!あとはと可愛い❤,0.9949
4623,5149,1,1:25の笛強く吹く顔好き,0.98
2134,2417,1,今年ももうそろそろ台風の季節だなぁ去年、かなり強い台風が来た時に外出て傘もって遊んでたことを思い出した()めっちゃ楽しかったなぁ,0.9843
2929,3239,1,独特のリズムだから、何度も聞きに来ちゃう。,0.7187
7778,8512,1,作画を極限まで削った例のキャベツあるの好き,0.979
1236,1473,0,風邪で前髪ぐちゃぐちゃなの最悪(自分が),0.9883
4012,4515,1,勝手に「つよがぜおーるばっく」かと思ってたら「きょうふうオールバック」だった…どっちにしろかわいい…🥹,0.9635
4956,5487,1,歌ってみたから来ました！！めっちゃ好きですこれから沢山聴きます！！,0.9935
2595,2895,1,風強い日の学校帰りに友達とこのステップぶちかますのサイコーに楽しい好き,0.9855
4853,5383,0,作画崩壊キャベツ……？,0.905
5918,6503,1,この数万再生の時に知った曲がどんどん伸びていく感じ好き,0.9936
684,828,1,日清よくやった！,0.9597
4319,4826,0,サブスク配信されてないよな。,0.9014
2413,2700,1,いいですね👍ボールのようなキャベツ好き。,0.9884
5617,6194,0,バズってるやん,0.7934
7366,8099,0,って思いました、ズルすぎる,0.8374
371,468,0,カラオケで歌ったら音ていがちがかった😢😮,0.8007
4704,5230,1,この俺が頑張れば4ヶ月位で描けそうな絵柄好き,0.9903
2046,2328,1,新潟県民の心に響きました🍚🌾✨,0.8525
5568,6130,0,あー、コレはバズりますね…いや、バズらせるよネット民が,0.8145
7320,8052,1,開始数秒でいいねもしたしチャンネル登録もしてしまった,0.6088
6946,7673,1,歌詞と絵の組み合わせが最高クソかわいい,0.9929
7571,8305,1,可愛い、この言葉しか見つからない,0.918
6493,7148,1,女の子めっちゃ可愛いんだが,0.9914
4358,4865,0,強風の中、震えながら聞いています染みるわァ～～～(激震),0.7644
3959,4460,1,日記が700万再生されるのがボカロの良いところホント可愛い曲,0.987
6683,7400,1,好き〜〜,0.9768
4954,5485,0,最後のハトだけアホ面なの笑った,0.4889
4407,4915,0,これ作画崩壊キャベツか？,0.5415
3220,3548,1,100回聞いた人🙋‍♂️,0.3639
24,27,1,曲も歌詞も歌も絵も全てが天才的。,0.8923
7033,7762,0,登校中とか無性に風に腹立つときある,0.9771
2668,2972,1,ユキちゃん前髪なら、キヨテル先生のメガネが飛んだりする歌とか聴いてみたい。,0.9426
4559,5085,1,今日風強すぎたから聴きにきた,0.9102
6171,6760,1,かわいい！強風は花粉も飛ぶし、黄砂来るし、終わったわの気分になるね。,0.978
6970,7697,1,最近の流行りはカッコイイ（笑）ボカロ（笑）なのにこういうの出してくれるPホンマに好き,0.9908
569,684,1,群馬のための歌ですか？？？？！,0.7481
1981,2262,0,知り合い方がヅラなんだけど、強風吹くとズレてるんだよね。たまに炊飯器の蓋の様にパッカーンしてる時もある。,0.8659
1605,1848,1,今日の雰囲気に合いすぎている曲,0.5964
2772,3078,0,最後のたまに音階が外れるリコーダーがクセになってたまらん,0.9761
5952,6537,1,イヤホンで聞いた時の音とリズムが気持ちよすぎる,0.9871
7745,8479,1,何気ない歌詞を軽い曲調に乗せているから何万回でも聴けるあと絵が可愛すぎる,0.9872
4443,4953,1,言っちゃえば歌詞はかなり適当なのに曲のリズムとかMVとかは細部まで丁寧に作られててすき,0.9765
858,1075,0,いつもきいています。😂😊,0.738
3773,4264,1,いい意味で脳死で聞けるし、シュールさがゆるくてすき,0.9795
5418,5971,1,素朴に小学生してるユキちゃん好きすぎる,0.9863
4898,5428,1,この曲好きすぎるw髪セットしたのにすぐ飛んであーーーーーって思ってたwほんとこの曲好き,0.957
4642,5168,1,中毒性のある曲ですよ。。,0.9378
3138,3459,1,犬の足ちっこすぎてかわいい,0.9848
5872,6457,0,毎日聞いてるのは俺だけじゃないはず,0.5382
3780,4271,1,歌愛ユキを見る度に、歌愛ユキが好きだった中学の友人を思い出す。現在私は26歳、いまだに歌愛ユキが活躍しているのがとても感慨深い。,0.7439
4037,4540,0,1:26溢れ出るきゅう○らりん感,0.4727
3475,3953,1,すご,0.8314
5855,6440,1,見覚えのあるキャベツだなおい,0.8375
366,463,0,まだ伸びてるやん…すご……,0.6048
5143,5691,1,これを機に「ナン食べたい」もYouTubeに出してほすぃ,0.908
3809,4302,1,初めてみた時は面白いなくらいにしか思ってなくて良い曲とは感じなかったたけどいろんなとこで聞いてるうちにハマった、、,0.9885
3934,4435,1,サムネ見ただけでわかる平和さ曲を聞いてわかる思ってた100倍の平和さ,0.9116
4731,5257,1,カースタネット可愛い,0.9895
2138,2421,1,めっちゃ伸びてる、見た時50万位だったのに,0.6168
6107,6694,1,1:56の虚無すき,0.9585
4791,5321,0,毎朝、通勤時に爆風に前髪散らされながら聴いてる。ケープで固めても無駄な私の髪の毛は一体何なのだろうか…,0.916
665,803,0,そっとでた瞬間クソ暑い天気が良いからクソ暑い陽が強過ぎてクソ暑い致命致命的にクソ暑い,0.9838
7526,8260,0,絶妙な間が病みつきになるよ,0.9799
895,1113,1,歌みた「そっっとでったっしゅんかん」本家「そっっとでっったしゅんかん」,0.5716
3116,3437,1,​🌬🌪🌪🌪(Ｏ口Ｏ三)三🕊🕊🕊,0.6153
2144,2427,1,コロコロ転がるおそらく犬狂おしいほどすこ,0.9006
6271,6867,1,だからなんだって話だけど、再生回数1000回くらいの時からリピートしてたからなんか誇り高い,0.9723
2470,2767,0,歌自体は良いのに機械音声の使い方が下手すぎて違和感が凄い,0.994
4721,5247,1,100万いく前に見れたのは自慢できる,0.9904
60,72,1,カップヌードルのCM見て初めて知ってからはまってしまった❤,0.9594
330,423,1,CMおめでとうございます🎊🎉,0.9734
3535,4015,1,歌愛ユキ好きなのになんで今まで聴かなかったんだろってくらい良い曲中身のなさが歌愛ユキの小学生キャラと非常にマッチしてますし音使いも小気味良くてノイジーな調声もチープな雰囲気との相性がよく他の方々が口々に言う「頭空っぽにして聴ける」空気に上手く誘導出来ている感じがしますあと、歌詞の内容の共感のしやすさも流行りに一役買ってそうですね,0.9738
4483,5009,0,お亡くなりってカゼツヨ😂,0.9727
5307,5856,1,誰も触れてないけど、伝説のキャベツ…！,0.8287
2859,3168,1,ハトのところめっちゃすこ,0.9849
6720,7440,1,1日に5回は聞ける,0.8681
5109,5657,1,かわいい感じの曲はたまに怖めの意味が隠されたりしてるけどこれはガチでただただ平和で癒される。あと0:53の「はとはとはとはと大乱闘あーーーー」が可愛すぎる,0.9858
7059,7790,0,キャベツはもう許してやってくれw,0.4933
4271,4777,1,プロセカに出て欲しい曲大第2位,0.9176
2280,2564,0,新潟市民「万代橋の目前で終ったわ…天気も悪くて風強い…定期定期的に傘が逝く…」「地下鉄欲しいなって思いました…雪さえ克服出来れば無敵なのに…(地盤が脆くてお亡くなり…)」,0.9621
4404,4912,0,遅刻した時の言い訳で言おう,0.7971
1630,1873,1,めっちゃ雨風がひどい日にこれ聞きながら外歩いたら最高でした。,0.9706
3458,3936,0,聞き取りにくいし曲として面白くない,0.9886
4074,4578,0,キャベツの作画に若干の悪意を感じる,0.9746
3827,4322,0,体重１００キロ超えてた頃は大した事が無かった強風。やらかして死にかけて心臓にカテーテルをブチ込んだ後３０キロほど減量してからの久々の強風。リアルにお亡くなりそうになって何が如何してか意味も分からず自嘲的大草原不可避,0.9854
4528,5054,1,無事中毒になりましたありがとうございます,0.8121
4045,4548,0,どうやって思いついたんやろ、,0.7567
2959,3269,0,先日、仕事の居残りが済んでさー帰ろう…とした時に思わぬ強風と雨に慌てて鍵を開け直して傘立てやら植木鉢外掃除道具やらを屋内にしまい込んだそんな時この曲が頭に流れました天気は良くなかった。,0.8362
6623,7338,1,カラスかわよ！,0.7185
1959,2239,1,定期定期的にこの曲聴きたくなる,0.9786
5684,6265,1,「虚無」のガチャガチャ持ってて嬉しくなった,0.9917
3915,4416,0,ウーパールーパー…虚無…これから導き出される答えは…！😺,0.4431
3988,4490,0,リコーダーのところ、なぜかゼルダがよぎってもうた。あと風強すぎてお亡くなりってなに？笑,0.7395
7408,8141,1,ハトの大乱闘だいぶ脈絡無くて好き,0.9896
1029,1251,0,すげ〜,0.5844
7465,8199,1,歌詞もアニメーションも曲調もすべてがゆるい感じでとても良い,0.9893
5353,5905,1,ずっと座りたいなって思いましたここの小並感すこ,0.8936
3742,4230,1,1:11〜1:18の間のリズム感めっっっちゃ好きwww,0.9912
2430,2718,1,なあ群馬県民よ、これ県歌にしようぜ,0.8799
4626,5152,1,こんなに可愛くて面白い曲も世の中的にも珍しくて大好き🫶,0.9918
6571,7282,1,めっちゃ伸びとるやん！,0.9701
2050,2332,1,曲に持ってかれて誰も触れてないけど、この子かわいくね？,0.9099
3549,4029,1,部活でぼろ負けしたけど風強かったし仕方ない気にさせてくれるこの歌が好き(柔道部),0.9862
1313,1552,1,水瀬いのりに歌って欲しい！キャラの声も合いそう！,0.9861
459,565,0,コロナ感染者（自分）咳した瞬間終わったわ喉が痛くて喋れない喉痛すぎてお亡くなり定期定期的に喉イガイガ,0.9908
5724,6305,0,よくある行きは向かい風で帰りは追い風かと思ったら帰りも向かい風のやつ,0.6491
1008,1227,1,お亡くなりって表現の仕方ほんとにすこい,0.9806
5790,6373,0,2日で30万回再生増えてんのやばすぎ(),0.5837
3425,3899,1,ツイッタートレンド入りおめでとうございます！(2023/05/06)散々YouTubeのホームに出てくるので聴いてしまいましたがまんまとハマりました！！,0.9921
3036,3348,1,神曲,0.9224
588,706,1,主、天才だな！！,0.905
4161,4665,1,0:28「って思いました」が小学生ぽくて好き,0.9897
6478,7122,1,mvめーっちゃかわいい,0.9925
737,947,0,面白ーい,0.9843
1689,1933,1,２２２２再生おめでとうございます最もMADが作成されたボカロ曲も目指してください！,0.9853
769,984,0,俺の場合[定期的的にゲーム中毒],0.6805
3068,3387,1,ボカロ文化は面白いな,0.9778
6799,7522,0,そのキャベツはだめよw,0.972
3810,4303,1,1番最初の息継ぎの音好き,0.976
3570,4050,0,何の説明も無しに大多数があの緑色の玉をキャベツだと思っていることこそが一番のホラーな気さえしてきた,0.8152
7229,7960,1,まじでかわちすぎてすこ,0.844
3151,3472,0,って思いましたかつぼる,0.8837
4034,4537,1,強風オールバックってタイトル良,0.9883
5160,5709,0,修学旅行でわざわざ行列に並んで買った人気店の10個入りの小籠包を近くのベンチで友達と食べてて、あと3つってところで突然ハトに襲われて大乱闘が起こったの思い出した丁度その日風強くてハトが食い散らかして地面に落ちた容器のゴミを回収するのに苦戦して泣きたくなった,0.9599
2333,2619,1,なにこれ面白い笑,0.9759
1408,1649,1,サブスク解禁してください😢😢😢サブスクじゃなくてもiTunes頼む😢😢😢,0.5194
6521,7226,0,いい曲すぎてお亡くなりしそう,0.9009
4166,4670,1,この曲で歌愛ユキ知る人多そう,0.6933
2408,2695,1,かわいいw,0.9773
2932,3242,0,チャリンコこいでるとき勝手に脳内でこいつ流れてくるのやめてもろてwww,0.8885
4394,4902,1,おさげちゃんとコラボしねぇかな…,0.5176
1205,1442,1,2分とは思えない満足感,0.4597
3694,4181,1,誰も言及してないけど、一瞬だけ登場するきっちり直立ウーパールーパーが好き。そこはかとない平成初期感じて好き。,0.9815
4927,5458,1,びじゅチューン思い出すわ,0.6254
2590,2890,1,すき,0.8999
5939,6524,1,カスタネットの音とかリコーダーの音とか女の子がサビでリズムとってたり集中線も使ったりして面白くなるように工夫されてるシンプルに見えてすごい曲,0.9733
6476,7120,1,伸びよすぎ〜(¨̮),0.9192
5048,5581,1,なんだこの意味わからん曲好きなんだけど,0.9236
1813,2058,1,リズム天国みたいで耳がきもちいい笑笑,0.9831
