text,label,score
タイフが近付いてきて風が強くなってきた今日にピッタリの曲ですね😊,POSITIVE,0.7684
おもしろい🤣🕊️✨嬉しい❤,POSITIVE,0.9912
強風やだなぁ～～～～～～～,NEGATIVE,0.9928
0:00(始まり)2:16終わり,NEUTRAL,0.898
耳に残るんよなぁ。歌詞がどうであれ、このリズム作れることが才能やと思うわ,POSITIVE,0.9122
鼻歌歌ってると1/3ぐらいの確率でスプーが乱入してくる,NEUTRAL,0.8455
夏大変だよ,NEGATIVE,0.9869
洗脳ソング,NEUTRAL,0.9058
俺の実家付近も風クソ強いこと多いからわかるわ😂,NEGATIVE,0.7443
可愛い❤😂,POSITIVE,0.9876
この曲をSpotifyでやってくれたら嬉しい🎵😍🎵,POSITIVE,0.9931
0:28のところの、とことこ歩いてる姿がかわいいし、音楽のリズムも最高😘,POSITIVE,0.9875
これがオリジナルですか？,NEUTRAL,0.9692
オールバックめっちゃ好き❤,POSITIVE,0.9903
気持ち良すぎる手拍子を定期的に聴きにきちゃう,POSITIVE,0.9868
この曲はとても人気があり、面白いです,POSITIVE,0.9928
ヤシの木見たら、こっちもまた見たくなるんだよな,POSITIVE,0.7529
今年中に5000万再生行ってまた新記録だしてくれ！！,POSITIVE,0.9837
2023年、まだ見てる人🙋,NEUTRAL,0.8405
CMで使われてるんだなぁ〜レベルだったのにハマってしまった,POSITIVE,0.9454
これiTunesに来て欲しいわ,POSITIVE,0.8964
ここにキャベツ検定が有ると聴いて来ました,NEUTRAL,0.6333
「ハトハトハトハト大乱闘」が具体的には説明できないけどスゲエ分かる。アイツら何もなくても、いきなりトチ狂ったように目の前で一斉羽ばたきするから、子どもの頃は公園行くのがとても怖かった,NEGATIVE,0.9245
どうしてこのPV見るだけでムラムラしてしまうのだろうか,NEGATIVE,0.8352
歌詞がいまいち意味不明。曲は好きだが。,NEGATIVE,0.9462
外出るたびにこの中毒性の歌が脳内再生される笑,NEUTRAL,0.8476
すごいクセになる😂❤,NEUTRAL,0.5286
コミカル〜天才!,POSITIVE,0.9451
これを見てキャベツ検定を知った人先生怒らないから手を挙げなさい！ノ,NEUTRAL,0.5448
2023年8月1〜2日現在の沖縄県外出た瞬間終わる状況継続中にて車出す用があったので、この曲をBGMに運転した,NEUTRAL,0.5369
頭の中でずっと流れてるw,NEUTRAL,0.8979
さっきシーフードヌードル食べた洗脳かな？,NEUTRAL,0.7634
カスタネット叩くカラス好きだわ〜,POSITIVE,0.9703
1:23,NEUTRAL,0.9064
少し前のボカロ感あって好き,POSITIVE,0.9872
あれは伝説のキャベツですか,NEUTRAL,0.9212
なんか真似したくて久々に小中学で使ってたリコーダー引っ張り出したわwww,POSITIVE,0.9215
0:57これ好き,POSITIVE,0.9852
伝説のキャベツで草,NEUTRAL,0.9327
なんかもう懐かしさ感じ始めちゃってるよ。安心感がある,POSITIVE,0.9701
この簡単キャベツなんかで見たことあるんだけど,NEUTRAL,0.9354
シーフード買おうって思いました,NEUTRAL,0.7995
2分少々なのにやられてる。,NEGATIVE,0.8972
カップヌードルのCM見て初めて知ってからはまってしまった❤,POSITIVE,0.9594
カップラーメンCM曲になっとるやないか!おめでとうー,POSITIVE,0.985
めっちゃ良い曲だね！,POSITIVE,0.9938
0:141:57,NEUTRAL,0.8863
小学２年生の時に台風に飛ばされて川に落下した石下君思い出した（風強すぎても生きてた）,NEUTRAL,0.5209
これイヤホンで聞くと響いているよ,NEUTRAL,0.6773
4000万再生はウケる,POSITIVE,0.9774
令和のラレコ,POSITIVE,0.5871
群馬？,NEUTRAL,0.9721
この前が寝起きヤシの木なんやろなぁ、、、,NEGATIVE,0.5914
もっと伸びろ,POSITIVE,0.9482
いいね！,POSITIVE,0.987
台風6号,NEGATIVE,0.9001
こりゃ、1億いくな,POSITIVE,0.6035
2023年にこの曲聞いてる人いる??,NEUTRAL,0.9561
一日一回は見てしまう...,NEGATIVE,0.5824
ﾊﾟﾝﾊﾟﾝ!,NEUTRAL,0.8722
キャベツは草,NEUTRAL,0.9452
娘が聴いていてハマりました😄✨リコーダーの部分、口笛する人絶対居るはず(笑),POSITIVE,0.9683
日清のCMの動画からきましたがカプヌは食べてない。夏暑すぎるから秋になったら食べるよ。,NEUTRAL,0.8763
これかー、CMみてYoutubeだとは思ってたけどやっと見つけた。,POSITIVE,0.9115
天才やん⁉,POSITIVE,0.5731
1:12ここの所作画崩壊の伝説のキャベツシーンでは、！？,NEUTRAL,0.7905
再生回数4000万超えててビビったんだけどwwwwww,NEUTRAL,0.5057
風強いすぎて入部したばっかの部活遅刻して先輩にヤバいやつ認定された俺の気持ちにもなれ,NEGATIVE,0.9481
なんでこの曲が流行ってるのかわからない。。ボカロにしても歌詞がいいとか作曲がいいとかでバズるならわかるけどこの曲にそのどっちもないじゃん。まじで謎すぎ,NEGATIVE,0.5365
これ、本当にテレビに入ってめっちゃ笑った😂😂,POSITIVE,0.9693
天才,POSITIVE,0.8312
外出た瞬間終わったわ。天気はいいのに進めない風強すぎてお亡くなり定期定期的にオールバック地下に潜りたいなって思いました風さえなくなればあったかいのにずっと座りたいなって思いました。いやいいやと外出たら鳩鳩鳩鳩大乱闘外出た瞬間終わったわ天気はいいのに進めない風強すぎてお亡くなり定期定期的にオールバック🥬🔪外出た瞬間終わった天気はいいのに進めない。風強すぎてお亡くなり、定期定期的にオールバック、髪の毛、強風オールバック,NEGATIVE,0.9508
1．25倍速にして寝起きヤシの木みたいにすると楽しいよ,POSITIVE,0.9856
絵のおかげ,POSITIVE,0.5073
1:10〜1:18このキャベツってもしかしてあの作画崩壊キャベツのパロディ？,NEUTRAL,0.9669
これはいいボカロですねぇ,POSITIVE,0.9824
祖父が、日清と強風オールバックのコラボCM見て、最近はとんでもない声の持ち主がいるんだな…ってドン引きしてたw,NEUTRAL,0.7203
クセになる,NEGATIVE,0.9536
寝起きヤシの木が強風でオールバックになったってこと？,NEUTRAL,0.9172
シーフードヌードルのコラボCMに採用しました。,POSITIVE,0.536
中毒性が凄い😂何度も聴いてる♫,NEGATIVE,0.5724
シーフードCM見ました！,POSITIVE,0.9289
ついにラグトレイン超えたな,POSITIVE,0.8782
急にバズってるの凄いな継続はカなりだわ,POSITIVE,0.8094
今の小学生授業でリコーダー始まったら大喜びしてこれやってそう,POSITIVE,0.9627
終わったわ...w,POSITIVE,0.439
謎の中毒性,NEGATIVE,0.8729
カスタネットのリズム、b'zのあれだな。,NEUTRAL,0.6349
昔アンダーテール曲のアレンジめっちゃやってた人がこんな神曲作ったとは思ってなかった,NEUTRAL,0.5179
ほんとは潜ってたいしずっと座ってたいけどいやいやと頑張って外に出てみるも折り合いがつけられない世間の風に吹かれて今日は一旦全て後退した、みたいに取れる歌詞を飄々とした曲に乗せているようで好き,POSITIVE,0.9706
天パ&髪硬いからオールバックになれる君たちがうらやましい,NEGATIVE,0.5299
それな,NEUTRAL,0.8673
正直強風オールバックのなると指７本入る実力垣間見えるよね,POSITIVE,0.9472
カバーされまくりやなあと間奏の「あのキャベツ」は一体…？ｗ,NEUTRAL,0.7419
沖縄、いま外に出ると丸ハゲにされそうw（台風6号襲来中）,NEGATIVE,0.9524
なんだろう…これ聞くとヤツメ穴思い浮かぶんだけど私だけかな？,NEUTRAL,0.6664
爆風オールバックやな🎉,NEUTRAL,0.8642
これ嗅ぎ付ける日清食品ホールディングス,NEUTRAL,0.9344
キャベツ（？）切ってるシーンってあの作画崩壊のキャベツ（？）じゃない？……気の所為？,NEGATIVE,0.6148
最近は情報量モリモリみたいな曲が流行ってたけど、つぎは聴きやすくて軽い曲が流行りそう,NEUTRAL,0.6066
カップヌードルのCM見るとコレ見たくなってこれ見るとカップヌードル食べたくなるのなんでw,NEUTRAL,0.5477
4000万回再生すご,NEUTRAL,0.8168
この笛の音が耳にこもる,NEUTRAL,0.7475
ゆるいw,NEUTRAL,0.6826
古き良きニコニコ思い出すわ☆彡,POSITIVE,0.9741
群馬県民、冬の日常,NEUTRAL,0.5633
ちょうど台風来てるから強風オールバックしてる,NEGATIVE,0.7741
寝起きヤシの木から強風オールバックで聞くとそれに聞こえるの草,NEUTRAL,0.9103
1.25倍にすると寝起きヤシの木になる,NEUTRAL,0.8407
絵が日常に似てるのは？,NEUTRAL,0.9444
ハイパー癖になるんだぜ,NEGATIVE,0.8818
上司の名前が金正恩だったら仕事休みたい人↓↓,NEUTRAL,0.5541
再生数もっと伸ばそう,POSITIVE,0.6815
だんだんめちゃくちゃになってくの好き,POSITIVE,0.9908
アンコールアンコール,NEUTRAL,0.6837
暇だったから見たら、弟が隣にいテ、その後…「これ面白い」って言われて、ハ？って思った。ソレカラ、とっても、騒がしくなりました(^-^)(うん、うるさいな^^),NEGATIVE,0.7216
最近ダイエットのために運動始めたんですが、これテンポ良くてよく聴きながらやってます！よき！,POSITIVE,0.9902
投稿から4ヶ月以上経つのに、ここ最近の再生数の伸びが凄いな,POSITIVE,0.529
登録させていただきました！！8０年代っぽいアニメでいいね・・・。（笑）,POSITIVE,0.9823
密かに見つけた曲がこんなに伸びるのは,POSITIVE,0.878
流行の風強すぎた☆,POSITIVE,0.9769
桁がおかしいよ怖いよ俺,NEGATIVE,0.9942
50代のオッサンもハマってます😮中毒性有り,NEUTRAL,0.8218
0:40頃のベースのような低い音ってなんの音？,NEUTRAL,0.812
なんかくせなる,NEGATIVE,0.9734
年末の特番でスパッツ芸人がやりそう題して伝説オールバック,POSITIVE,0.9312
0:54のはときゃわ～,NEUTRAL,0.542
カスタネットのリズムが好きすぎる…,POSITIVE,0.9806
かわいいい！！！！,POSITIVE,0.9918
なるほど夜明け前より瑠璃色なキャベツか,NEUTRAL,0.933
リコーダー取り入れるの天才だと思う😂,POSITIVE,0.9475
雷バージョン出てきそう(),NEUTRAL,0.7527
自転車の登下校キツい,NEUTRAL,0.4566
作画崩壊キャベツ,NEGATIVE,0.8945
うちの娘にそっくり,POSITIVE,0.7413
課税強すぎてお亡くなり。😢,NEGATIVE,0.9935
,NEUTRAL,0.9457
後ろのカラスとか鳩とか可愛すぎる,POSITIVE,0.9802
風がオールバックになることを進めてくれるなんて優しいじゃないか,POSITIVE,0.9398
ボカロ曲の入門的存在(だと自分が勝手に思ってる曲)は千本桜→シャルル→KINGって移り変わってきてたけど、ここに強風オールバックが追加されるんだろうなあKINGからの移行早いなーと思いきや既に3年経っててびっくり,NEUTRAL,0.5608
この曲聴きながらレッドシー頂きます。,POSITIVE,0.6448
これから向かい風受けるたびにこれ思い出す人生になりそうだ,NEUTRAL,0.7547
*YouTubeを洗脳した神曲（陰キャ専用）*,NEUTRAL,0.8199
ラグトレイン抜かれてるやん,NEGATIVE,0.9284
この前には寝起きでヤシの木なんだな,NEUTRAL,0.8943
ラグトレインの再生数抜いたーーーーー!!ちょっと悲しい…ｗ,NEGATIVE,0.9936
雨と雷と強風が凄いので聞きに来ました,NEUTRAL,0.8994
公式がジャルジャルとコラボしたんかと思たわ。,NEUTRAL,0.8509
このキャベツは……！,NEUTRAL,0.5656
キャベツ切るリズムおもろい😂,POSITIVE,0.9828
これひいてるの？,NEUTRAL,0.9565
1.25倍速結構好き,POSITIVE,0.99
パンパン！の所からシーフード！が聞こえる,NEUTRAL,0.9071
コラボするべきは日清じゃなくてオッズパークだと思うの俺だけ？,NEUTRAL,0.8042
作画崩壊してるキャベツ出てきてワロタwwwwwww,NEUTRAL,0.7498
音楽の授業がある日でよかったね😅,POSITIVE,0.9663
たのしい,POSITIVE,0.984
どんどんおもんないクソコメ増えてきてるな,NEGATIVE,0.9423
1.25倍速じゃないと遅いなぁ,NEGATIVE,0.5152
ゆこぴさんすごいと思う人,NEUTRAL,0.5701
最近この絵をよく見るのできてみたが声が予想外すぎる,NEGATIVE,0.818
歌詞のチョイスが天才すぎる,POSITIVE,0.9643
寝起きヤシの木の時歯ブラシ左手で持ってるのに,NEUTRAL,0.5209
歌愛ユキちゃんってキャベツ切る時包丁右手で持ってるけど右利きなの？,NEUTRAL,0.9555
良い,POSITIVE,0.9929
間違いなくボカロ会の歴史に残るボカロｐ＋曲＋映像,NEUTRAL,0.5872
最初聴いた時は何とも思わなかったのに、なんかもう癖になる。色々なんか完成されていて、カプヌCMの「食っとけ」とかはなんか違うんだな。シーフードのあっさり感は合ってるけど、この虚無感/謙虚さに独特/シンプルな世界観/リズム感が良き。,POSITIVE,0.9242
この曲聴くとシーフードがでてきてしまう…(((,NEUTRAL,0.7427
風当たり強すぎてオールバックレたいけど、この曲聴いて仕事頑張ります。,NEUTRAL,0.5044
MVでは向かい風が吹いてるけど、このMVには追い風が吹いてるね,NEUTRAL,0.9022
🌬💨,NEUTRAL,0.8316
例の作画崩壊キャベツしぬ,NEGATIVE,0.9282
夜中2時半まで粘って日清録画したったわっっ！！,POSITIVE,0.477
こっちに慣れすぎて、ヤシの木聞いた後に戻ってきて、あぁ〜これだわ〜〜〜ってするの楽しい,POSITIVE,0.9914
定期的にオールバック...だと！？不定期的にジャルジャルがいるぞ！それにしてもいい曲！,POSITIVE,0.9784
誰がカプヌCMになると予想したことか,NEUTRAL,0.9248
歌も好きだけど絵が可愛くて好き,POSITIVE,0.993
調教技術がリアルな歌声に近付く中、このボカロって感じのチューニングがたまらんのよ,POSITIVE,0.6399
ユキカイ、私はどこでも彼女を見たことがある😅,NEUTRAL,0.5152
CMおめでとうございます🍾🎊🍾,POSITIVE,0.9734
TikTokの曲ー！これいいよね,POSITIVE,0.9875
8月初コメ,POSITIVE,0.5756
虚無ルーパーかわええ😊,POSITIVE,0.8881
まじで、これ一回しか聴いてないのに四六時中このメロディー流れててうざいw,POSITIVE,0.8465
キャベツ切るところ伝説の作画崩壊のやつ?,NEUTRAL,0.7716
👍,NEUTRAL,0.8316
群馬県出身なのでしょうか？風強いって聞くと群馬県を思い浮かべてしまうので,NEUTRAL,0.927
ほんとリズムが天才的,POSITIVE,0.8486
まさかアンテのオルゴール作った人とは思わんくてびっくりしてる、、。,NEUTRAL,0.8193
１度聴いたら脳内リピされる🤣中毒性高過ぎ😆,NEGATIVE,0.9892
ビッグモーター副社長「教育教育教育教育」Yukopi「定期定期定期定期」,NEUTRAL,0.7373
スーパーの店員さんのここからきてるのを今更知ると言う,NEUTRAL,0.9407
カップヌードルから来ました！,POSITIVE,0.9325
1:25かわいい❤️,POSITIVE,0.9369
テンポが遅くて好き,POSITIVE,0.9729
頭から離れないメロディー❗️夢にも出て来そうだわ😂,NEGATIVE,0.421
ここが大元ですか？,NEUTRAL,0.9786
1.25倍がヤシの木すぎ,NEUTRAL,0.8523
0.75倍速で聴くとスローで面白い,POSITIVE,0.9866
アイドル超えたら笑う,POSITIVE,0.9221
キャベツの作画…,NEUTRAL,0.8961
2006年くらいのオタクに聞いてほしい,NEUTRAL,0.604
ポンキッキの世界だな,NEUTRAL,0.918
小学生がナタか、ナイフで何か切ってるのがヤバイ最後ツッコミで強風オールバックが髪の毛オールバックになってるのなーぜなーぜ,NEUTRAL,0.6016
お亡くなり‥この歌詞に違和感。熱中症でなくなる方もいますし、笑えない。,NEGATIVE,0.9865
リズム天国みたい😂,NEUTRAL,0.8529
なんか既視感あると思ったら全てあなたのせいですに似てる😊,NEGATIVE,0.8294
明日、台風🌀🌀🌀直撃らしいので、これ殺りたいと思います！！！！,NEGATIVE,0.9693
作画崩壊キャベツww,NEGATIVE,0.8679
二日前で再生数116万増えとるやないかい！,POSITIVE,0.7343
風でこんな中毒性のある曲作れるの凄い,POSITIVE,0.9701
収益化してたら金やべえだろうな,NEUTRAL,0.4127
カラオケで2回歌いました。最高得点は93点❤,POSITIVE,0.9541
日清が必至こいて曲お借りしてるから3分ちょうどの曲作ってあげて,POSITIVE,0.81
癖になる歌っっっwwwwwwwwww,POSITIVE,0.757
CMにオールバック出てた,NEUTRAL,0.7782
これでいいんだよおじさん「これでいいんだよ」,POSITIVE,0.9179
ハッハー↑から来たけど個人的に「キャベツ（？）」に草生えた,NEUTRAL,0.4961
1.25倍速まじ楽しい,POSITIVE,0.9867
2023年も見てる人ー🙋,NEUTRAL,0.8036
カップヌードル食っとけ,POSITIVE,0.6118
寝起きヤシの木→強風オールバックの流れでOK？笑,NEUTRAL,0.947
こんなに大きくなっちゃうなんて....お母さん嬉しいよ....,POSITIVE,0.9721
前編,NEUTRAL,0.9114
ヤシの木から戻ってきた人✋,NEUTRAL,0.749
この曲中毒性ある😂,NEGATIVE,0.9695
CMで知りました！日清は素晴らしい会社だ！,POSITIVE,0.9893
また明日聞くね、大好き💕💕💕😘❤。,POSITIVE,0.9922
オレ真面目に通勤してて、天気良すぎる日に火遁豪華球の術を食らってマネージャーにでんわしたら、気持ちが火傷なっけど何とか通勤できました。この辛さ😢18人くらいにわかって欲しい,NEGATIVE,0.8861
コレをドラムにする勇者まで現れた,NEUTRAL,0.5925
いくら何でもリズム良すぎ何回聞いても癖になる,POSITIVE,0.9701
ちょっと聞きすぎた。頭から離れない。,NEGATIVE,0.9842
CMコラボおめでとうございます🎉,POSITIVE,0.9842
再生バーの丸が風強すぎて前に進めないユキちゃんに見えてきてなんか可愛い,POSITIVE,0.9702
地元の赤城おろしあるあるで笑ったｗ,POSITIVE,0.7685
まさかのコラボすぎたよな,POSITIVE,0.9718
CMに使われてて、最近のテレビ見る目的がCMを見るためになってきました笑,NEUTRAL,0.8054
思ったよりシュールな歌でした,NEUTRAL,0.5578
wwwwwwwかいゆうきとうたはかわいいね？,POSITIVE,0.9385
頭の中で無限ループしてる。,NEUTRAL,0.7483
2023年に見ている人🖐️,NEUTRAL,0.8789
寝起きヤシの木から繋がってる…,NEUTRAL,0.7798
強風オールバック良すぎて再生リスト作った,POSITIVE,0.9746
今見たら寝起きヤシの木時の髪留めじゃね?これ、時系列同じかー,NEUTRAL,0.9593
「強風で寒い」季節に半袖で外出するとはこれ如何に？夏場なら相当な強風でも「風があって涼しい」と感じる筈。,NEUTRAL,0.8569
聞きすぎてリコーダーパート口笛でできるようになった(´･ω･`Ⅲ)※上手いとは言ってない,NEUTRAL,0.7955
リコーダーのメロディ、perfumeに似た曲があるんだけど思い出せない。。,NEGATIVE,0.8672
キャベツw,NEUTRAL,0.9239
そこの君寝起きヤシの木を見た後に来たね,NEUTRAL,0.8082
友達は外出た瞬間雄の鹿が目の前にいて終わってたなー,NEGATIVE,0.6089
電子音前回のボカロ大好き,POSITIVE,0.9818
10回以上再生しちゃってる中毒者、正直に🙋‍♀️,NEGATIVE,0.9668
これ好き,POSITIVE,0.9894
*_=°•\YEEEEEEEAHHHHHHH/•°=_*,NEUTRAL,0.4991
これ今の日本を風刺した曲なんだよね…,NEUTRAL,0.6321
再生速度x0.5好き,NEUTRAL,0.6888
早くLINEMUSIC追加されないかなぁ‥,POSITIVE,0.5783
これ共感する人いるかな、うち学生やねんけど、学校にさ向かってる時に前から台風ですか?って思うくらいの風が来て髪の毛がちぎれそうになるくらいブォォォォって強風吹いて前進めんし、髪の毛もやばいし足1歩も出ないって事ない?,NEGATIVE,0.8613
どっかのアニメで見たキャベツやな,NEUTRAL,0.9066
2023年も見てる人いる?✋,NEUTRAL,0.8974
これがきゅうくらりんの再生数を超えたのが感動だ,POSITIVE,0.9852
寝起きヤシの木が出てからまた来たぜ！,POSITIVE,0.9308
カップヌードルのCMからきました元ネタがあったんですね,NEUTRAL,0.9343
あ！！！！！！例のキャベツだ！！！！！！,POSITIVE,0.5007
カップヌードルで知ったけど、このリズムの中毒性ヤヴァイ！！,NEGATIVE,0.8448
夏夏暑すぎておわったわ,NEGATIVE,0.8574
ボカロ系の機械的な歌声が苦手な兄と彼氏に勧めたところ、兄はテレビのyoutubeでよく流すようになり、彼氏にはデートの際の車のBGMに追加されました。,POSITIVE,0.9023
なぜだかあらいけいいち作品だと思ってたな,NEUTRAL,0.9485
曲に合わせて、高評価おして高評価するかしないかの独自ゲームしてたら高評価できた,POSITIVE,0.9196
寝起きヤシの木の続き（たぶん）らしい,NEUTRAL,0.9418
誰もが共感できるエピソード過ぎて強い,POSITIVE,0.9463
調教だけめちゃくちゃ気になるな,NEUTRAL,0.6165
4000万回再生おめでとうございます🎉,POSITIVE,0.9702
伝説の作画崩壊キャベツネタあってワロタ,POSITIVE,0.9633
これを見つけた日清が凄いわ,POSITIVE,0.8393
寝起きヤシの木どうにかしたのに強風なら確かに外出た瞬間終わるわな,NEGATIVE,0.8746
次はどんな髪型をモチーフにしたボカロになるんだろうか…,NEUTRAL,0.8269
20時間で60万再生されてるのペースおかしい,NEGATIVE,0.8642
2023年でみてる人いる？,NEUTRAL,0.9555
これが寝起きやヤシの木の続き,NEUTRAL,0.9176
予：2024年でも観てる人いますか？🖐️,NEUTRAL,0.8781
4000万回再生突破おめでとうございます‼️(2023/07/3021:54:46),POSITIVE,0.9891
日清カップヌードルがＣＭ採用した威力は凄いな……あっという間に試聴4000万回超えになって、新曲も２日で試聴数百万回になってるし…それ以前に中毒になる歌が凄く良いね,POSITIVE,0.9822
中出た瞬間終わったわｺﾞﾒﾝﾅｻｲ,POSITIVE,0.8871
映像の構成・編集技術・カメラワークどれも最高でした！あとサビの歌声がacidblackcherry(jannedaarc)のyasuさんに似てて素敵です！,POSITIVE,0.9935
初めて見た時から3日後に見たら16万いいねも増えてるし今見たらそこから更に60万位増えてる…今まで見た曲の中で一番伸びがエグい…カップヌードルの広告に使われるとか思わんやん…,POSITIVE,0.6554
カップヌードルのCM記念に。,NEUTRAL,0.7507
過去の動画見たらこの人がアンダーテール好きなのが伝わってきた,POSITIVE,0.6876
この曲頭に残りそうな曲😂,NEUTRAL,0.6144
アニマルたちのゆるふわ感と女の子の無表情かわいいそして中間の緑の球体ことキャベツへのオーバーきるwww,POSITIVE,0.9368
0:24,NEUTRAL,0.8716
２０２３年でも見てる人いる?,NEUTRAL,0.9388
グンマーか？グンマーだろ？🤣,NEUTRAL,0.9071
さっきCM見たぞぉ(´▽`)ﾉ,POSITIVE,0.8555
こちとら毎日自転車通学で定期的どころか毎日オールバックなんですわ😮,NEUTRAL,0.8342
？？？「シーフード！」,NEUTRAL,0.9661
4000万回再生おめでとおおおお！,POSITIVE,0.9764
寝起きヤシの木を聞いてから強風オールバックがこんなにゆっくりだったのかと疑い始めた,NEUTRAL,0.8796
もう4000万回！このままのペースで増えてほしい！！,POSITIVE,0.7834
歌愛ユキがまたこうやって人気になってくれてうれぴー,POSITIVE,0.9456
新曲だからだけどヤシの木からのオールバックは実家のような安心感が半端ないな,POSITIVE,0.954
お姉ちゃんが厨二病だったとき外が強風でお姉ちゃんが「黒い風が、、鳴いている、、、ﾄﾞﾔｯ」ってずっと言ってたの不意に思い出してずっと笑ってるｗ,POSITIVE,0.5438
