label,text,score
1,おもしろい🤣🕊️✨嬉しい❤,0.9912
0,強風やだなぁ～～～～～～～,0.9928
1,耳に残るんよなぁ。歌詞がどうであれ、このリズム作れることが才能やと思うわ,0.9122
0,夏大変だよ,0.9869
0,俺の実家付近も風クソ強いこと多いからわかるわ😂,0.7443
1,可愛い❤😂,0.9876
1,この曲をSpotifyでやってくれたら嬉しい🎵😍🎵,0.9931
1,0:28のところの、とことこ歩いてる姿がかわいいし、音楽のリズムも最高😘,0.9875
1,オールバックめっちゃ好き❤,0.9903
1,気持ち良すぎる手拍子を定期的に聴きにきちゃう,0.9868
1,この曲はとても人気があり、面白いです,0.9928
1,ヤシの木見たら、こっちもまた見たくなるんだよな,0.7529
1,今年中に5000万再生行ってまた新記録だしてくれ！！,0.9837
1,CMで使われてるんだなぁ〜レベルだったのにハマってしまった,0.9454
1,これiTunesに来て欲しいわ,0.8964
0,「ハトハトハトハト大乱闘」が具体的には説明できないけどスゲエ分かる。アイツら何もなくても、いきなりトチ狂ったように目の前で一斉羽ばたきするから、子どもの頃は公園行くのがとても怖かった,0.9245
-1,どうしてこのPV見るだけでムラムラしてしまうのだろうか,0.8352
-1,歌詞がいまいち意味不明。曲は好きだが。,0.9462
1,コミカル〜天才!,0.9451
1,カスタネット叩くカラス好きだわ〜,0.9703
1,少し前のボカロ感あって好き,0.9872
0,なんか真似したくて久々に小中学で使ってたリコーダー引っ張り出したわwww,0.9215
1,0:57これ好き,0.9852
1,なんかもう懐かしさ感じ始めちゃってるよ。安心感がある,0.9701
-1,2分少々なのにやられてる。,0.8972
1,カップヌードルのCM見て初めて知ってからはまってしまった❤,0.9594
0,カップラーメンCM曲になっとるやないか!おめでとうー,0.985
1,めっちゃ良い曲だね！,0.9938
1,4000万再生はウケる,0.9774
1,令和のラレコ,0.5871
0,この前が寝起きヤシの木なんやろなぁ、、、,0.5914
1,もっと伸びろ,0.9482
1,いいね！,0.987
-1,台風6号,0.9001
1,こりゃ、1億いくな,0.6035
-1,一日一回は見てしまう...,0.5824
1,娘が聴いていてハマりました😄✨リコーダーの部分、口笛する人絶対居るはず(笑),0.9683
0,これかー、CMみてYoutubeだとは思ってたけどやっと見つけた。,0.9115
1,天才やん⁉,0.5731
0,風強いすぎて入部したばっかの部活遅刻して先輩にヤバいやつ認定された俺の気持ちにもなれ,0.9481
-1,なんでこの曲が流行ってるのかわからない。。ボカロにしても歌詞がいいとか作曲がいいとかでバズるならわかるけどこの曲にそのどっちもないじゃん。まじで謎すぎ,0.5365
1,これ、本当にテレビに入ってめっちゃ笑った😂😂,0.9693
1,天才,0.8312
0,外出た瞬間終わったわ。天気はいいのに進めない風強すぎてお亡くなり定期定期的にオールバック地下に潜りたいなって思いました風さえなくなればあったかいのにずっと座りたいなって思いました。いやいいやと外出たら鳩鳩鳩鳩大乱闘外出た瞬間終わったわ天気はいいのに進めない風強すぎてお亡くなり定期定期的にオールバック🥬🔪外出た瞬間終わった天気はいいのに進めない。風強すぎてお亡くなり、定期定期的にオールバック、髪の毛、強風オールバック,0.9508
0,1．25倍速にして寝起きヤシの木みたいにすると楽しいよ,0.9856
-1,絵のおかげ,0.5073
1,これはいいボカロですねぇ,0.9824
-1,クセになる,0.9536
0,シーフードヌードルのコラボCMに採用しました。,0.536
1,中毒性が凄い😂何度も聴いてる♫,0.5724
1,シーフードCM見ました！,0.9289
0,ついにラグトレイン超えたな,0.8782
1,急にバズってるの凄いな継続はカなりだわ,0.8094
1,今の小学生授業でリコーダー始まったら大喜びしてこれやってそう,0.9627
1,終わったわ...w,0.439
1,謎の中毒性,0.8729
0,ほんとは潜ってたいしずっと座ってたいけどいやいやと頑張って外に出てみるも折り合いがつけられない世間の風に吹かれて今日は一旦全て後退した、みたいに取れる歌詞を飄々とした曲に乗せているようで好き,0.9706
0,天パ&髪硬いからオールバックになれる君たちがうらやましい,0.5299
0,正直強風オールバックのなると指７本入る実力垣間見えるよね,0.9472
0,沖縄、いま外に出ると丸ハゲにされそうw（台風6号襲来中）,0.9524
-1,キャベツ（？）切ってるシーンってあの作画崩壊のキャベツ（？）じゃない？……気の所為？,0.6148
0,古き良きニコニコ思い出すわ☆彡,0.9741
0,ちょうど台風来てるから強風オールバックしてる,0.7741
0,ハイパー癖になるんだぜ,0.8818
0,再生数もっと伸ばそう,0.6815
1,だんだんめちゃくちゃになってくの好き,0.9908
-1,暇だったから見たら、弟が隣にいテ、その後…「これ面白い」って言われて、ハ？って思った。ソレカラ、とっても、騒がしくなりました(^-^)(うん、うるさいな^^),0.7216
1,最近ダイエットのために運動始めたんですが、これテンポ良くてよく聴きながらやってます！よき！,0.9902
1,投稿から4ヶ月以上経つのに、ここ最近の再生数の伸びが凄いな,0.529
1,登録させていただきました！！8０年代っぽいアニメでいいね・・・。（笑）,0.9823
1,密かに見つけた曲がこんなに伸びるのは,0.878
1,流行の風強すぎた☆,0.9769
0,桁がおかしいよ怖いよ俺,0.9942
-1,なんかくせなる,0.9734
1,年末の特番でスパッツ芸人がやりそう題して伝説オールバック,0.9312
1,カスタネットのリズムが好きすぎる…,0.9806
1,かわいいい！！！！,0.9918
1,リコーダー取り入れるの天才だと思う😂,0.9475
-1,作画崩壊キャベツ,0.8945
1,うちの娘にそっくり,0.7413
0,課税強すぎてお亡くなり。😢,0.9935
1,後ろのカラスとか鳩とか可愛すぎる,0.9802
1,風がオールバックになることを進めてくれるなんて優しいじゃないか,0.9398
1,この曲聴きながらレッドシー頂きます。,0.6448
0,ラグトレイン抜かれてるやん,0.9284
0,ラグトレインの再生数抜いたーーーーー!!ちょっと悲しい…ｗ,0.9936
1,キャベツ切るリズムおもろい😂,0.9828
1,1.25倍速結構好き,0.99
1,音楽の授業がある日でよかったね😅,0.9663
1,たのしい,0.984
-1,どんどんおもんないクソコメ増えてきてるな,0.9423
-1,1.25倍速じゃないと遅いなぁ,0.5152
-1,最近この絵をよく見るのできてみたが声が予想外すぎる,0.818
1,歌詞のチョイスが天才すぎる,0.9643
1,良い,0.9929
1,最初聴いた時は何とも思わなかったのに、なんかもう癖になる。色々なんか完成されていて、カプヌCMの「食っとけ」とかはなんか違うんだな。シーフードのあっさり感は合ってるけど、この虚無感/謙虚さに独特/シンプルな世界観/リズム感が良き。,0.9242
0,例の作画崩壊キャベツしぬ,0.9282
0,夜中2時半まで粘って日清録画したったわっっ！！,0.477
1,こっちに慣れすぎて、ヤシの木聞いた後に戻ってきて、あぁ〜これだわ〜〜〜ってするの楽しい,0.9914
1,定期的にオールバック...だと！？不定期的にジャルジャルがいるぞ！それにしてもいい曲！,0.9784
1,歌も好きだけど絵が可愛くて好き,0.993
1,調教技術がリアルな歌声に近付く中、このボカロって感じのチューニングがたまらんのよ,0.6399
0,CMおめでとうございます🍾🎊🍾,0.9734
1,TikTokの曲ー！これいいよね,0.9875
1,8月初コメ,0.5756
1,虚無ルーパーかわええ😊,0.8881
-1,まじで、これ一回しか聴いてないのに四六時中このメロディー流れててうざいw,0.8465
1,ほんとリズムが天才的,0.8486
1,１度聴いたら脳内リピされる🤣中毒性高過ぎ😆,0.9892
0,カップヌードルから来ました！,0.9325
1,1:25かわいい❤️,0.9369
1,テンポが遅くて好き,0.9729
1,頭から離れないメロディー❗️夢にも出て来そうだわ😂,0.421
1,0.75倍速で聴くとスローで面白い,0.9866
1,アイドル超えたら笑う,0.9221
-1,お亡くなり‥この歌詞に違和感。熱中症でなくなる方もいますし、笑えない。,0.9865
-1,なんか既視感あると思ったら全てあなたのせいですに似てる😊,0.8294
0,明日、台風🌀🌀🌀直撃らしいので、これ殺りたいと思います！！！！,0.9693
0,作画崩壊キャベツww,0.8679
0,二日前で再生数116万増えとるやないかい！,0.7343
1,風でこんな中毒性のある曲作れるの凄い,0.9701
0,カラオケで2回歌いました。最高得点は93点❤,0.9541
0,日清が必至こいて曲お借りしてるから3分ちょうどの曲作ってあげて,0.81
1,癖になる歌っっっwwwwwwwwww,0.757
1,これでいいんだよおじさん「これでいいんだよ」,0.9179
1,1.25倍速まじ楽しい,0.9867
1,カップヌードル食っとけ,0.6118
1,こんなに大きくなっちゃうなんて....お母さん嬉しいよ....,0.9721
1,この曲中毒性ある😂,0.9695
0,CMで知りました！日清は素晴らしい会社だ！,0.9893
1,また明日聞くね、大好き💕💕💕😘❤。,0.9922
0,オレ真面目に通勤してて、天気良すぎる日に火遁豪華球の術を食らってマネージャーにでんわしたら、気持ちが火傷なっけど何とか通勤できました。この辛さ😢18人くらいにわかって欲しい,0.8861
1,いくら何でもリズム良すぎ何回聞いても癖になる,0.9701
-1,ちょっと聞きすぎた。頭から離れない。,0.9842
0,CMコラボおめでとうございます🎉,0.9842
1,再生バーの丸が風強すぎて前に進めないユキちゃんに見えてきてなんか可愛い,0.9702
0,地元の赤城おろしあるあるで笑ったｗ,0.7685
1,まさかのコラボすぎたよな,0.9718
0,wwwwwwwかいゆうきとうたはかわいいね？,0.9385
1,強風オールバック良すぎて再生リスト作った,0.9746
0,リコーダーのメロディ、perfumeに似た曲があるんだけど思い出せない。。,0.8672
0,友達は外出た瞬間雄の鹿が目の前にいて終わってたなー,0.6089
1,電子音前回のボカロ大好き,0.9818
1,10回以上再生しちゃってる中毒者、正直に🙋‍♀️,0.9668
1,これ好き,0.9894
-1,早くLINEMUSIC追加されないかなぁ‥,0.5783
0,これ共感する人いるかな、うち学生やねんけど、学校にさ向かってる時に前から台風ですか?って思うくらいの風が来て髪の毛がちぎれそうになるくらいブォォォォって強風吹いて前進めんし、髪の毛もやばいし足1歩も出ないって事ない?,0.8613
0,これがきゅうくらりんの再生数を超えたのが感動だ,0.9852
1,寝起きヤシの木が出てからまた来たぜ！,0.9308
1,あ！！！！！！例のキャベツだ！！！！！！,0.5007
1,カップヌードルで知ったけど、このリズムの中毒性ヤヴァイ！！,0.8448
0,夏夏暑すぎておわったわ,0.8574
0,ボカロ系の機械的な歌声が苦手な兄と彼氏に勧めたところ、兄はテレビのyoutubeでよく流すようになり、彼氏にはデートの際の車のBGMに追加されました。,0.9023
1,曲に合わせて、高評価おして高評価するかしないかの独自ゲームしてたら高評価できた,0.9196
1,誰もが共感できるエピソード過ぎて強い,0.9463
0,4000万回再生おめでとうございます🎉,0.9702
1,伝説の作画崩壊キャベツネタあってワロタ,0.9633
0,これを見つけた日清が凄いわ,0.8393
0,寝起きヤシの木どうにかしたのに強風なら確かに外出た瞬間終わるわな,0.8746
-1,20時間で60万再生されてるのペースおかしい,0.8642
0,4000万回再生突破おめでとうございます‼️(2023/07/3021:54:46),0.9891
0,日清カップヌードルがＣＭ採用した威力は凄いな……あっという間に試聴4000万回超えになって、新曲も２日で試聴数百万回になってるし…それ以前に中毒になる歌が凄く良いね,0.9822
0,中出た瞬間終わったわｺﾞﾒﾝﾅｻｲ,0.8871
1,映像の構成・編集技術・カメラワークどれも最高でした！あとサビの歌声がacidblackcherry(jannedaarc)のyasuさんに似てて素敵です！,0.9935
0,初めて見た時から3日後に見たら16万いいねも増えてるし今見たらそこから更に60万位増えてる…今まで見た曲の中で一番伸びがエグい…カップヌードルの広告に使われるとか思わんやん…,0.6554
1,過去の動画見たらこの人がアンダーテール好きなのが伝わってきた,0.6876
1,アニマルたちのゆるふわ感と女の子の無表情かわいいそして中間の緑の球体ことキャベツへのオーバーきるwww,0.9368
0,さっきCM見たぞぉ(´▽`)ﾉ,0.8555
1,4000万回再生おめでとおおおお！,0.9764
0,もう4000万回！このままのペースで増えてほしい！！,0.7834
1,歌愛ユキがまたこうやって人気になってくれてうれぴー,0.9456
1,新曲だからだけどヤシの木からのオールバックは実家のような安心感が半端ないな,0.954
1,お姉ちゃんが厨二病だったとき外が強風でお姉ちゃんが「黒い風が、、鳴いている、、、ﾄﾞﾔｯ」ってずっと言ってたの不意に思い出してずっと笑ってるｗ,0.5438
0,4000万回再生おめでとうございます！,0.9901
0,朝起きたら寝癖が凄かった。でも時間がなくてドライヤーをかけながら学校に行った。寝癖は大丈夫になったけど、次は風が強くなり始めて、オールバックになりました。天気はいいのに強風が吹いています。そこで「地下に潜りたいな」と思いました。でも地下はありません。さらにハトが大乱闘。その後なんとか学校に行けました。その翌日はとても暑くなりました。暖かい風が吹きました。,0.7751
0,最近Yukopiさんをいろんな所で目にして売れたんだな…って感じるようになってきた,0.9335
0,なんだろういつもチャリ乗る時髪気にしてたけど色々全部吹っ切れました次からは何も考えず全力でオールバックしていきますありがとうございました,0.9848
1,って！の所が何気に好き！,0.9872
1,おもしろい😊😅🎉😂❤,0.9772
1,すごい,0.73
0,4050万再生おめでとう！！(事前に祝う),0.9889
1,あの日清のカップヌードルのcmに起用されるの凄すぎやろ😂,0.9443
1,寝起きヤシの木聞いてからこっち来ると物語が続いてる感じになるの好き,0.9867
0,「寝起きヤシの木」でせっかくセットした髪の毛がすぐ「強風オールバック」になるっていう流れが...,0.5146
-1,また、ユーチューバーが、自分の娘さんとか使って、【実写版】を作りそう(~_~;),0.6109
1,切れ目がないから嫌でも最後まで見て再生回数に貢献しちゃうの沼だわ,0.9523
1,0:56ここ好き,0.961
1,1:11ここからのテンポがめっちゃ好きで何回も見てしまう笑,0.9708
1,日清とのコラボ見て、納得して聴いたら良かった,0.9899
0,作画崩壊キャベツ！😅,0.8007
0,4000万再生おめでとうございます！！,0.9909
1,キャベツ見て笑った,0.89
1,歩くのは楽しいこと！.!,0.9895
0,いつかグッバイ宣言も超えそうだな,0.8464
1,リコーダーの部分が1番好きやわ,0.9822
1,4週間ぶりに見たら4000万再生すげぇぇ。4週間前は3100万再生やったのに。強風もヤシの木も最高！！,0.9904
1,cmからクセになって本家とcm行き来してるカプヌの方の概要欄好き,0.9095
1,cmで見掛けて心をわしづかみされました、最高です。,0.9912
0,ライディングデュエルしてたら向かい風が強すぎてカード吹き飛ばされて相手のフィールドにセットされちゃって負けました。,0.9676
-1,風強いくらいって死なないとない思います。死んだなら死因を言って下さい。,0.9002
1,からすが一生懸命でかわいい,0.9916
0,4000万回再生おめでとうございます🎊,0.9702
1,絵がかわいくて草,0.975
-1,ヤシの木を聞いてからだと、早さに物足りなさを覚える…脳から変な汁が出るくらいに速さをくれ…,0.8432
1,裏拍踏んでるカラスがスキ。,0.6574
0,寝起きヤシの木聞いたけどやっぱ初心に戻ってきた人✋,0.6272
0,この伸び方だと1～2週間もしないうちにラグトレインの再生数超えそうで草,0.8448
1,歌愛ユキが今日もかあいい。。,0.979
-1,なんでこれこんな流行ってんの？この曲のなにがそこまでみんなに刺さるのか私にはさっぱり分からんよ…,0.9736
0,小学3年生の息子とカラオケ行ったらこれ歌ってたな。今時の子達はこうゆうのを聞くのか。お父さん頑張って覚えよ,0.8074
0,頭から離れなくなった時にCMに起用するとは日清もやりおるな,0.9364
1,CMで🦑切るとこ好き,0.9808
0,4000万再生おめでとうございます‼️,0.9897
1,ありがとうございます！,0.9893
0,4000万回再生おめでとう！！㊗️🎉🎊,0.9931
1,この曲が史上2曲目のボカロ一億再生達成だろうな。,0.9253
1,新曲でて戻ってきた人絶対いるよね,0.955
1,この曲はハマる😱中毒性高過ぎ❗アニメーションかわいい✨ＣＤで出ませんか？,0.6763
1,やっぱこれだね,0.8581
1,この曲、配信リリースしてほしい。めっちゃ聞きたい,0.9773
1,ひさびさにすごいボカロ曲聴いた気がした,0.8286
1,かわいい,0.9801
1,4008万回再生おめでとうございますそのうち100回は自分ですカスタネット担当が好きです,0.9786
0,伸び具合が半端じゃねぇw,0.5348
1,4000万回再生おめでとう！ユキちゃんは4000万回強風オールバックを経験したよ！,0.9851
0,4000万おめでとうございます,0.9613
0,4000万再生おめでとう！！！,0.992
1,今更ですが見ました！面白かったです🏆,0.9942
1,この曲中毒性すごい,0.651
0,4000万回再生おめでとうございます,0.9697
1,神曲っすね,0.98
0,4000万再生おめでとうございます！🎉🎉,0.9902
1,この調子で再生数１億超えたら笑う,0.8878
0,4000万回再生の内、1000回は増やした自信あるわw,0.9879
-1,まぁ、むきんって入力しても無勤なんて変換は候補にはでないと思うけどね🤔どやって間違えたのかな…普段から無勤という言葉をお使いになられてたのかな…,0.8886
0,4000万再生おめでとう！🎉,0.9893
1,4000万回wwwwwwwwwほんとすごい,0.8481
1,😂私を幸せにしてくれてありがとう,0.9806
1,4000おめです！！！,0.9752
1,歌愛ユキって可愛いよな♥️,0.9927
0,4000万再生おめでとう！🎉,0.9893
1,みんなめっちゃコメントしてんのすげえな,0.948
1,4か月で40000000再生とかすご。1年で1億2千万回で全国民聞いてるじゃんｗ,0.87
1,今までありがとう、灰色の背景,0.775
1,4000萬再生～！！！！！！！！,0.9662
0,4000万回おめでとう🎉🎉🎉🎉,0.9649
0,2023年7月29日4000万再生おめでとうございます。CMに、新作の寝起きヤシの木本当に凄いです。,0.985
1,4000万回突破おめでとうございます🎉これからもたくさん聴いてリピします！！,0.9933
1,4000万回再生おめでとう🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉これからも鬼リピします！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！,0.9821
0,4000万おめでとう🎊,0.9671
0,4000万回再生ktkr！おめでとうございます！,0.9923
0,4000万回再生おめでとうございます🎉,0.9702
0,あと少しで四千万再生だ！四千万になった！すげぇ！おめでとうございます🎉,0.9906
1,4000万回もオールバックになってるユキちゃん面白すぎる,0.9844
1,4000万オールバック突破で草,0.757
-1,群馬県平野部の冬だとからっ風が強くて通学通勤時にこういう状態になりますね。,0.9222
1,コメ欄群馬の人たくさんいて嬉しい,0.9913
1,もうすぐ4000万再生に届きそうなのを見るとやっぱりこの歌は人気なんだなと感じる,0.9788
1,4000万行くやん,0.8051
1,4000万まであと1万再生‼️,0.9126
-1,例のCMにつられて安易にシーフードヌードルに手を出してしまいました、誠に遺憾です,0.9868
1,騙されたと思って1.25倍速で再生してみ？めちゃめちゃ乗れる曲になる（？）,0.9037
1,両サイドの手拍子がドチャクソスコ😂,0.7029
1,CM見れた、嬉しい,0.9944
-1,勤務帰り、外出た瞬間口ずさんでしまう。,0.9
-1,あったかさを求めてるのに半そで？,0.806
-1,群馬とかだと秋から冬にかけての強風がすごすぎて自転車で坂道下るときに漕がないと前に進まないとかあるよbyグンマー民,0.8115
1,ヨーデルの女以来の中毒性,0.9832
1,ここまで有名になったら小学校とかでリコーダーの音階教えてもいい説,0.8356
1,CMは日清としては久々の秀作,0.7593
1,カップヌードルだらだら食べたくなる,0.6495
1,yukopiさん歌が神ってるううううう,0.9781
1,もうすぐ4000万回再生！凄い勢い！,0.9556
-1,守若の兄貴しか出てこなねぇ😅,0.5848
-1,毎日、歌ってルくらい中毒です❤,0.7364
1,この曲にハマっていつもこの曲を流しています🤣,0.9562
1,この、プロが休憩中にお遊びとして適当に作った感が満載なのがいい,0.9472
1,天才。,0.6917
1,1:12有名な作画崩壊キャベツ！！！芸が細かくて好き,0.9847
1,良すぎる,0.9892
1,この曲、面白い♪。これをCMにした日清の凄さ★。,0.9878
1,中毒性高すぎる,0.9938
1,最近は色んなのあるけどやっぱり本家に戻ってくる,0.7373
-1,意味不明,0.9623
-1,1日に55万回再生、、、、、、、、、、、、、嘘だろ,0.9761
-1,これを知らなかったのでカップヌードルがパロディだった事に気づけなかった。何かすげぇ残念w,0.9192
1,私はロシア人ですが、この曲が狂うほど好きです。アナの気分が良くなりました。とても素敵なビジュアルです）,0.9916
-1,CMで最近この曲のことを知った側の者なんですが、この曲の歌詞すごいぞ当時の作者さんは本当に風強いのが嫌な気持ちを表現しただけかもと思いつつ、家出てどっか行くという行為を現代人の人生に例えたら、歌詞中のあらゆる言葉に皮肉があるように思えてしまう・外出た瞬間終わったわ→社会人になったら嫌でも思い知る将来への絶望感・天気はいいのに進めない→会社行きたくない・風強すぎてお亡くなり→耐えられずにドロップアウトか、無理して耐えて本当にお亡くなりか、強く常に発生する逆境が理不尽な二択を迫ってくる・定期的にオールバック→それでも元気に押し寄せる年金税金インボイスなどでオール国民がバックしていく,0.5953
1,脳内リフレインするくらい狂おしい程好き,0.9808
1,わろたｗ,0.9099
1,AppleMusicでダウンロードできるようになって欲しい。,0.6593
1,1:16この前アニメネタの動画見てる時になんか見覚えあるキャベツの絵やな〜って思ったらこれやった,0.8054
1,才能の塊,0.8206
-1,"これ学校でしたら,冷たい視線という強風が吹いて終わった",0.7431
-1,最近外出たら風強すぎて風邪引きました,0.9877
1,新作聞いたついでにまた見に来た,0.8914
1,1:11から雰囲気好き,0.9702
1,新曲出たから戻ってきた(2回目),0.866
1,日清のCMが頭から離れなくて本家探したらここに辿り着いた！ここ本家で間違いないよね！中毒性あって良い〜,0.9861
1,UNDERTALE可愛いアレンジメドレーのやつを前に聞いてまさかこのチャンネルのやつだと思わなかった！びっくりした工ｴｴｪｪ(・д・)ｪｪｴｴ工,0.9431
1,なんだろう、懐かしいような新しいような。頭から離れない😂,0.4817
1,日清の目の付け所が良すぎる件,0.9759
1,キター！自分なり神曲🎉🎉あと、カップヌードルのCNになってんてんの超スゴー！😊😊,0.9838
1,子供がカプヌCMの方にハマって、激しくオススメされたから見てみたら…私は原曲にハマったわwヤシの木も座席もイイ😂,0.9715
-1,外出た瞬間終わったわ天気が良すぎて進めない気温高すぎてお亡くなり天気天気的にhomeback,0.6082
1,リコーダーの音外れるの最高！！,0.9925
-1,ケツから汁出て終わったわ,0.4606
1,カスタネットカラスが好きです。,0.969
-1,頭から離れんwww,0.6308
-1,結構前の曲かと思ったら4ヶ月前で草投稿してすぐCMってすげぇな,0.493
1,すき,0.8999
-1,ケツから汁出て終わったわ,0.4606
1,寝起きヤシの木聞いた後に強風オールバック聞くとなんか安心感あるわかるかな？これw,0.8697
1,1:55ここかわいい,0.986
-1,風強すぎてお亡くなりって良いな,0.5541
-1,作画崩壊キャベツについて話している人いないの時代だな…ネタとも認識しないんだろうな…,0.9677
1,リズムを合わせる天才,0.9182
1,ボカロは永久不滅💪💪💪💪,0.7523
-1,気がつけば4000万近くまで終わってるのか...,0.7531
1,朝起きた時に聴きたくなる,0.8154
1,「TikTokで○億回再生」って形で紹介されそうな曲感がある,0.5243
1,カップヌードルのCMから来ました。絵柄大好きです。,0.9028
1,マジ強風オールバックカバー，データ，ラップ，ボカロがマジあってる。リコーダーがボカロっぽいっ楽器と歌詞と音楽を合わせて，色々と…マジ愛おしい。,0.9817
1,この曲プロセカに欲しい,0.8686
1,CMを見てハマりました！,0.9909
-1,これ、登校中で遅刻したとなったら……キヨテル先生にドヤされるかもな。,0.9482
1,カップめんから。絵がかわいい💛,0.9778
1,みんな！「私の歯医者さん」も聞いて！神曲だから！！,0.9876
1,歌詞にジョジョ味を感じる・・・！酒！飲まずにはいられない！！,0.6495
-1,再生速度を2倍にしたら疾風感半端なすぎて耳が終わったわ,0.8451
-1,もう4ヶ月経ったのか…,0.849
-1,せっかくヤシの毛整ったのに風に乱されるの可哀想で可愛い,0.4158
1,4000万再生！？新作でましたね。これが本家だと思うとすっげぇ安心感ある。数年ぶりにはまった曲がシリーズ化されるの嬉しすぎ☆ここからは主の強風シーン☆6/2の下校中、台風がきてうんたらしてたら急に超強風きて大声でサビ歌いました。そしたら台風なんか頭から消えたくらい安心感あるこの曲テレビで「夏暑すぎて終わったわ」って聞いたら30秒でも全視聴。急上昇5位とか取ってたし。本当に強風の力って凄いなぁって思った。絶対食うから給食のとき、放送で学校でこの曲流れた。嬉しすぎて飯いつも50080倍進んだで。食いながら歌ったら吐きそうになったwいい意味で頭ぶっ壊れた。本当にありがとう,0.9798
1,こういう日常の出来事を曲にしようって思うのは全く凄くなくて、それを実行できる技能があるのが凄いんだよね…,0.845
-1,何言ってるかわからないのになんかええわー,0.8359
1,リコーダー買いました,0.79
1,余りにも可愛い過ぎる、、、そしてヤシガニ、、、,0.4442
1,この歌中毒性すごいよな😂❤❤,0.5849
1,鬱曲聴きまくった後の強風オールバック最高,0.969
1,4000万いったれ～,0.6437
1,もっと盛りあがろう！,0.9707
-1,前から思ってたけどわかりみが強いスプレーしても風でオールバックになっちゃうから…,0.9322
1,CMにボーカロイドが使われる快挙達成おめでとうございます！！！！ボーカロイドがお茶の間に進出してきてて本当嬉しい,0.9923
1,頭に残りやすくて好き笑,0.9873
1,風のせいでオールバックになって萎える感情を曲にするのは天才だわ,0.9121
-1,「外出た瞬間終わったわ。天気がいいのに進めない」この夏の激猛暑みたい。,0.9693
